run,agent,episode_return,discounted_return,mean_return,R_bar,theta_norm,theta_change,theta_update_norm,episode_total_wait,mean_wait_per_vehicle,epsilon
1,t,-2287895.0,-549835.2705913748,-11439.475,35924.00085382251,1.414213562373095,1.414213562373095,1.414213562373095,37364.0,56.2710843373494,0.0409324414739318
2,t,-2883145.0,-690384.7209493887,-14415.725,30659.226831809632,1.4142135623730951,0.0138481350206724,0.0138481350206724,31205.0,46.854354354354356,0.033509295300337034
3,t,-1620292.0,-399919.4771723659,-8101.46,23290.874897544752,1.4142135623730951,0.012561077389400252,0.012561077389400252,24724.0,35.98835516739447,0.02743234537427489
4,t,-724727.0,-157854.92733818624,-3623.635,15461.560210768319,1.4142135623730951,0.006977324279186192,0.006977324279186192,16769.0,23.989985693848354,0.02245745743050378
5,t,-3014767.0,-767857.191291414,-15073.835,39473.00034863862,1.4142135623730951,0.014834007469999194,0.014834007469999194,40913.0,62.462595419847325,0.01838477123854821
6,t,-4226569.0,-1071984.948471385,-21132.845,47617.016000018164,1.4142135623730951,0.012840348753624478,0.012840348753624478,38931.0,61.5996835443038,0.015050671454669998
7,t,-4257323.0,-1076598.2613373606,-21286.615,52725.0000000184,1.4142135623730951,0.000679642086750922,0.000679642086750922,54165.0,85.70411392405063,0.012321214569233113
8,t,-3534411.0,-939961.3684791519,-17672.055,41511.006538039015,1.414213562373095,0.006235992449546948,0.006235992449546948,42951.0,66.2824074074074,0.01008674788485781
9,t,-4259256.0,-1077367.1863136124,-21296.28,52735.000000018954,1.414213562373095,0.001815595114446329,0.001815595114446329,54175.0,85.71993670886076,0.01
10,t,-4259032.0,-1077151.464101468,-21295.16,52737.00000001802,1.414213562373095,0.0016437030355980762,0.0016437030355980762,54177.0,85.72310126582279,0.01
