run,agent,episode_return,discounted_return,mean_return,R_bar,theta_norm,theta_change,theta_update_norm
1,t,-189792.0,-61905.47979734787,-948.96,-1157.0121040988217,1.4142135623730951,1.4142135623730951,1.4142135623730951
2,t,-401660.0,-167895.66451919012,-2008.3,-3998.237095766953,1.4142135623730951,2.429957948058133,2.429957948058133
3,t,-457130.0,-180773.87024628842,-2285.65,-4692.897313599586,1.414213562373095,1.6425076787787865,1.6425076787787865
4,t,-238417.0,-51472.86459314451,-1192.085,-3108.67809719475,1.4142135623730951,1.206134534956807,1.206134534956807
5,t,-506362.0,-145320.13396140756,-2531.81,-5187.19838227927,1.414213562373095,2.340622490484494,2.340622490484494
6,t,-549154.0,-211462.08288322386,-2745.77,-1304.835426673617,1.4142135623730951,2.033834327056571,2.033834327056571
7,t,-276462.0,-79557.28429746527,-1382.31,-3017.2878931454156,1.4142135623730951,1.7722088851569073,1.7722088851569073
8,t,-362155.0,-164533.55831390864,-1810.775,-3112.8297869903163,1.4142135623730951,2.0006825652977946,2.0006825652977946
9,t,-495133.0,-214375.9669156837,-2475.665,-3261.4385293190926,1.414213562373095,1.7658814231819224,1.7658814231819224
10,t,-450749.0,-162727.91632676084,-2253.745,-5342.396219998596,1.414213562373095,1.5698348804320055,1.5698348804320055
11,t,-706235.0,-253496.43872674284,-3531.175,-6590.808522853993,1.4142135623730951,2.3012474507839444,2.3012474507839444
12,t,-740693.0,-278172.7551016675,-3703.465,-2784.9517441432927,1.414213562373095,2.008873880445377,2.008873880445377
13,t,-616633.0,-242713.85523907415,-3083.165,-2770.668859744582,1.414213562373095,2.0230071759543655,2.0230071759543655
14,t,-370419.0,-140374.11879817527,-1852.095,-589.4234301720963,1.414213562373095,1.9553262154793558,1.9553262154793558
15,t,-282115.0,-68816.77372474984,-1410.575,-4031.515702649943,1.4142135623730951,2.0420011265817166,2.0420011265817166
16,t,-751622.0,-245139.84213964126,-3758.11,-3968.809354108484,1.414213562373095,1.9771053197901727,1.9771053197901727
17,t,-588922.0,-223361.74719815748,-2944.61,-4838.291139662157,1.4142135623730951,2.173812873554229,2.173812873554229
18,t,-580287.0,-221882.20337521154,-2901.435,-2349.0738270642623,1.414213562373095,2.337441048116587,2.337441048116587
19,t,-806271.0,-291881.73118764587,-4031.355,-6502.479127551986,1.414213562373095,1.7375566621666798,1.7375566621666798
20,t,-48158.0,-24523.79128708425,-240.79,-489.31026089956805,1.414213562373095,2.0192661167780073,2.0192661167780073
21,t,-154818.0,-54136.65707934527,-774.09,-1408.3469165559227,1.414213562373095,1.8483930765217547,1.8483930765217547
22,t,-646125.0,-227017.22528365123,-3230.625,-3100.5105030831655,1.4142135623730951,0.4108798319951399,0.4108798319951399
23,t,-347087.0,-106801.3950691152,-1735.435,-3113.8504722156335,1.4142135623730951,2.1272381757253185,2.1272381757253185
24,t,-549718.0,-224454.91298198036,-2748.59,-3833.9268983437582,1.4142135623730951,1.9761964727060966,1.9761964727060966
25,t,-688299.0,-247909.4152973866,-3441.495,-4083.641038089515,1.4142135623730951,2.0628205666406516,2.0628205666406516
26,t,-403381.0,-114278.05247048127,-2016.905,-1883.6454515256137,1.4142135623730951,1.9580094760506181,1.9580094760506181
27,t,-582732.0,-242189.16847285192,-2913.66,-1697.264639039075,1.4142135623730951,1.993344605477832,1.993344605477832
28,t,-364097.0,-103346.58309975424,-1820.485,-4064.1308177544875,1.4142135623730951,0.34347260224600756,0.34347260224600756
29,t,-497633.0,-137925.43617618538,-2488.165,-4399.764380485265,1.4142135623730951,2.432652822918355,2.432652822918355
30,t,-737542.0,-263557.57701803406,-3687.71,-5234.55701686854,1.414213562373095,1.8318502221876978,1.8318502221876978
31,t,-671389.0,-251420.49444827912,-3356.945,-4225.048313909888,1.414213562373095,1.9321481428629037,1.9321481428629037
32,t,-393783.0,-190273.8659379523,-1968.915,-589.1948712077234,1.4142135623730951,1.5368913793837384,1.5368913793837384
33,t,-434824.0,-125229.54928727893,-2174.12,-3708.11081852926,1.4142135623730951,1.6658297274087701,1.6658297274087701
34,t,-741361.0,-304896.4911539522,-3706.805,-3056.52559819906,1.414213562373095,1.5386030508697397,1.5386030508697397
35,t,-625117.0,-241690.27591013076,-3125.585,-593.623110853937,1.4142135623730951,2.531248740471217,2.531248740471217
36,t,-543458.0,-182202.78145198646,-2717.29,-3846.845488766631,1.4142135623730951,2.6830490734300216,2.6830490734300216
37,t,-687325.0,-248882.4511290773,-3436.625,-4321.886584619515,1.4142135623730951,1.3401259035638524,1.3401259035638524
38,t,-656879.0,-219909.18830608221,-3284.395,-9219.358066987781,1.414213562373095,1.9808688255306783,1.9808688255306783
39,t,-601033.0,-204469.29524961888,-3005.165,-5064.56036723678,1.4142135623730951,2.2464468997115405,2.2464468997115405
40,t,-692626.0,-248771.46310746128,-3463.13,-4719.561789169839,1.4142135623730951,1.4736968152959342,1.4736968152959342
41,t,-683611.0,-251598.72722637863,-3418.055,-4110.806769529445,1.4142135623730951,2.4333680874860177,2.4333680874860177
42,t,-556988.0,-214520.20709252052,-2784.94,-2668.410094433446,1.4142135623730951,1.4296191684904596,1.4296191684904596
43,t,-737424.0,-218477.8260059811,-3687.12,-6613.910636353986,1.4142135623730951,1.596782106573845,1.596782106573845
44,t,-589419.0,-225738.40749392938,-2947.095,-2211.8480599563995,1.414213562373095,2.1134163134554322,2.1134163134554322
45,t,-630272.0,-168037.92557917643,-3151.36,-4156.564410492493,1.4142135623730951,1.3040919203400292,1.3040919203400292
46,t,-740306.0,-251877.1545234577,-3701.53,-4082.720866026407,1.414213562373095,2.636944186633581,2.636944186633581
47,t,-368932.0,-106532.1748930383,-1844.66,-5055.20167120052,1.414213562373095,2.002163016755836,2.002163016755836
48,t,-617810.0,-197910.3508234503,-3089.05,-5992.30337408684,1.4142135623730951,2.036540740199592,2.036540740199592
49,t,-729140.0,-293541.0359781489,-3645.7,-1781.778242728108,1.4142135623730951,0.8546647422642982,0.8546647422642982
50,t,-457184.0,-137258.36381055808,-2285.92,-4288.910715375659,1.4142135623730951,0.6767044777660293,0.6767044777660293
