run,agent,episode_return,discounted_return,mean_return,R_bar,theta_norm,theta_change,theta_update_norm
1,t,-1673550.0,-421925.8160936086,-8367.75,9680.128441699431,1.4142135623730951,1.4142135623730951,1.4142135623730951
2,t,-2434654.0,-565959.2024164321,-12173.27,30957.14441714416,1.414213562373095,0.01808952664205673,0.01808952664205673
3,t,-1061107.0,-257627.55584150512,-5305.535,20514.582019744394,1.4142135623730951,0.006028098182746268,0.006028098182746268
4,t,-2423703.0,-578131.1002152234,-12118.515,36763.00070986485,1.414213562373095,0.006264113258049226,0.006264113258049226
5,t,-2340069.0,-590190.6068367853,-11700.345,35142.00095049105,1.4142135623730951,0.005347221105586128,0.005347221105586128
6,t,-4106058.0,-1055170.8375940016,-20530.29,38969.890492987324,1.4142135623730951,0.012859288555906349,0.012859288555906349
7,t,-3000237.0,-699626.0087043319,-15001.185,43362.00002721845,1.414213562373095,0.0019205675442885233,0.0019205675442885233
8,t,-4018795.0,-1041332.3046852166,-20093.975,38086.90902057993,1.414213562373095,0.01158692557168021,0.01158692557168021
9,t,-2817300.0,-675344.0109282061,-14086.5,41258.00005264846,1.414213562373095,0.0025937357603413136,0.0025937357603413136
10,t,-3923590.0,-1026595.7273090228,-19617.95,37334.00645713728,1.4142135623730951,0.011472398052197708,0.011472398052197708
