step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode
230.0,35,0,7,127,162,0,25.0,0.7142857142857143,6.804824178138976,7,58.0,0.3528250811168898,7,58.0,1
235.0,34,0,13,131,165,0,78.0,2.294117647058824,6.235945781063517,13,98.0,0.2437807047832841,13,98.0,1
240.0,38,0,13,135,173,0,78.0,2.0526315789473686,5.564240689594354,13,133.0,0.3173051902840521,13,133.0,1
245.0,35,0,7,141,176,0,35.0,1.0,6.004425652888944,7,127.0,0.3550005820112792,7,127.0,1
250.0,37,0,4,142,179,0,24.0,0.6486486486486487,6.03161661355937,4,88.0,0.2718132812637676,4,88.0,1
5.0,5,0,0,0,5,0,0.0,0.0,13.41797885070188,0,0.0,0.970262831292026,0,0.0,10
10.0,9,0,0,0,9,0,0.0,0.0,12.692797113399886,0,0.0,0.9351256588539468,0,0.0,10
15.0,13,0,1,0,13,0,1.0,0.0769230769230769,9.066838511757016,1,1.0,0.6441765471242823,1,1.0,10
20.0,19,0,1,0,19,0,1.0,0.0526315789473684,8.630445180485504,1,6.0,0.6410329189649084,1,6.0,10
25.0,22,0,1,0,22,0,6.0,0.2727272727272727,10.556501538750528,1,6.0,0.739307097196686,1,6.0,10
30.0,24,0,4,1,25,0,21.0,0.875,9.532168750731008,4,21.0,0.5597431892978731,4,21.0,10
35.0,24,0,6,5,29,0,49.0,2.0416666666666665,9.307942922912927,6,49.0,0.5583116019484856,6,49.0,10
40.0,22,0,4,10,32,0,6.0,0.2727272727272727,7.125431926807744,4,43.0,0.4251588656948651,4,43.0,10
45.0,25,0,6,12,37,0,26.0,1.04,8.63147838513492,6,28.0,0.5256669376577557,6,28.0,10
50.0,28,0,7,14,42,0,58.0,2.071428571428572,8.354050286711766,7,58.0,0.455996746465756,7,58.0,10
55.0,24,0,11,19,43,0,106.0,4.416666666666667,5.275918475685359,11,106.0,0.2012983921323098,11,106.0,10
60.0,25,0,16,22,47,0,175.0,7.0,4.149800252897402,16,175.0,0.2192026817903758,16,175.0,10
65.0,27,0,12,24,51,0,116.0,4.296296296296297,4.903728941077956,12,203.0,0.3403053997107739,12,203.0,10
70.0,28,0,4,25,53,0,22.0,0.7857142857142857,5.387065729516102,4,150.0,0.27959420982603,4,150.0,10
75.0,31,0,3,25,56,0,22.0,0.7096774193548387,8.569120316620802,3,83.0,0.4762569770685078,3,83.0,10
80.0,32,0,3,28,60,0,37.0,1.15625,9.304178820975189,3,53.0,0.5551627070806199,3,53.0,10
85.0,29,0,5,33,62,0,60.0,2.0689655172413794,9.698546901403953,5,60.0,0.5903024112239853,5,60.0,10
90.0,28,0,1,38,66,0,1.0,0.0357142857142857,8.553808676182106,1,34.0,0.5100126506384981,1,34.0,10
95.0,26,0,6,43,69,0,19.0,0.7307692307692307,8.967593118315957,6,19.0,0.4988074109986831,6,19.0,10
100.0,24,0,7,49,73,0,52.0,2.1666666666666665,7.471270858324975,7,52.0,0.4186249298158514,7,52.0,10
105.0,24,0,5,53,77,0,21.0,0.875,7.0604053702722895,5,63.0,0.4708179135359006,5,63.0,10
110.0,27,0,2,55,82,0,4.0,0.1481481481481481,8.823607911597188,2,31.0,0.567766098088814,2,31.0,10
115.0,29,0,5,56,85,0,21.0,0.7241379310344828,9.308264348053312,5,21.0,0.5379703617602337,5,21.0,10
120.0,30,0,2,59,89,0,4.0,0.1333333333333333,7.365722031386048,2,25.0,0.4380386572752178,2,25.0,10
125.0,29,0,6,64,93,0,18.0,0.6206896551724138,7.823893721872286,6,22.0,0.4524754555174523,6,22.0,10
130.0,28,0,9,68,96,0,59.0,2.107142857142857,7.461133803228661,9,59.0,0.3453451892318683,9,59.0,10
135.0,30,0,8,71,101,0,40.0,1.3333333333333333,6.615577392706452,8,82.0,0.3583757269040928,8,82.0,10
140.0,31,0,2,76,107,0,10.0,0.3225806451612903,7.342180340468525,2,61.0,0.4255028756255992,2,61.0,10
145.0,33,0,3,78,111,0,23.0,0.696969696969697,8.869545056091066,3,33.0,0.5017145695183539,3,33.0,10
150.0,30,0,2,82,112,0,3.0,0.1,6.975266011296445,2,19.0,0.3999342999886429,2,19.0,10
155.0,33,0,8,86,119,0,31.0,0.9393939393939394,7.388695756767954,8,41.0,0.4134777005296564,8,41.0,10
160.0,31,0,12,90,121,0,83.0,2.677419354838709,6.524917236946108,12,93.0,0.3004276820707378,12,93.0,10
165.0,33,0,17,94,127,0,157.0,4.757575757575758,5.563783938685355,17,167.0,0.2658957184811711,17,167.0,10
170.0,33,0,19,98,131,0,248.0,7.515151515151516,4.057421269385132,19,258.0,0.2075942049528606,19,258.0,10
175.0,36,0,17,100,136,0,210.0,5.833333333333333,3.49277533457714,17,302.0,0.2084080348205472,17,302.0,10
180.0,38,0,14,102,140,0,99.0,2.6052631578947367,4.641620844938238,14,286.0,0.2338398748548175,14,286.0,10
185.0,39,0,11,102,141,0,63.0,1.6153846153846154,5.802011845978569,11,228.0,0.1952603508668806,11,228.0,10
190.0,36,0,1,106,142,0,2.0,0.0555555555555555,5.405477254608972,1,235.0,0.2458754950002853,1,235.0,10
195.0,34,0,5,110,144,0,21.0,0.6176470588235294,5.646164815355894,5,242.0,0.2418525555789599,5,242.0,10
200.0,33,0,12,114,147,0,68.0,2.060606060606061,3.8064357774508792,12,289.0,0.1400911269128272,12,289.0,10
205.0,30,0,12,119,149,0,68.0,2.2666666666666666,2.504188178527208,12,297.0,0.1350251314978019,12,297.0,10
210.0,33,0,7,120,153,0,28.0,0.8484848484848485,4.530824976390327,7,214.0,0.1952983855181762,7,214.0,10
215.0,35,0,5,120,155,0,15.0,0.4285714285714285,6.199580915983336,5,148.0,0.2367339561720783,5,148.0,10
220.0,33,0,1,124,157,0,7.0,0.2121212121212121,8.081966154743757,1,85.0,0.4153018346940358,1,85.0,10
225.0,32,0,2,128,160,0,13.0,0.40625,9.350572873997718,2,45.0,0.5212882879952114,2,45.0,10
230.0,29,0,2,134,163,0,23.0,0.7931034482758621,10.646192090083693,2,34.0,0.6766792124314117,2,34.0,10
235.0,27,0,2,138,165,0,33.0,1.2222222222222223,10.278224729463297,2,33.0,0.6170171041023983,2,33.0,10
240.0,25,0,1,143,168,0,1.0,0.04,8.594574438050286,1,3.0,0.4664048745797242,1,3.0,10
245.0,24,0,7,149,173,0,23.0,0.9583333333333334,8.251169657005272,7,23.0,0.4643815444978978,7,23.0,10
250.0,21,0,9,154,175,0,65.0,3.095238095238096,5.526021684107441,9,65.0,0.3512843374498139,9,65.0,10
5.0,4,0,0,0,4,0,0.0,0.0,12.474166358173852,0,0.0,0.9625759474414268,0,0.0,11
10.0,8,0,0,0,8,0,0.0,0.0,12.830828731633911,0,0.0,0.94005023772844,0,0.0,11
15.0,14,0,1,0,14,0,3.0,0.2142857142857142,10.136517996133929,1,3.0,0.727934298388634,1,3.0,11
20.0,20,0,5,0,20,0,20.0,1.0,7.162958081906304,5,20.0,0.5256502437376026,5,20.0,11
25.0,24,0,4,0,24,0,11.0,0.4583333333333333,6.190453050776154,4,33.0,0.4489070583208219,4,33.0,11
30.0,28,0,1,0,28,0,4.0,0.1428571428571428,7.04236592596084,1,19.0,0.3807520259736153,1,19.0,11
35.0,30,0,3,1,31,0,16.0,0.5333333333333333,8.766593277311697,3,16.0,0.4797164921618654,3,16.0,11
40.0,28,0,2,4,32,0,2.0,0.0714285714285714,7.483431792870109,2,9.0,0.402355691228752,2,9.0,11
45.0,25,0,6,10,35,0,23.0,0.92,5.914296693746146,6,23.0,0.2446835536418541,6,23.0,11
50.0,28,0,13,13,41,0,74.0,2.642857142857143,5.72001486346082,13,74.0,0.3178242496540532,13,74.0,11
55.0,31,0,16,15,46,0,149.0,4.806451612903226,5.206222861052009,16,149.0,0.3102442002439353,16,149.0,11
60.0,32,0,13,18,50,0,125.0,3.90625,4.508690939757047,13,190.0,0.2780647657259173,13,190.0,11
65.0,38,0,9,18,56,0,42.0,1.105263157894737,5.607026355219321,9,148.0,0.2613221738879408,9,148.0,11
70.0,39,0,7,20,59,0,29.0,0.7435897435897436,6.201094607788763,7,130.0,0.2760984749477743,7,130.0,11
75.0,38,0,5,23,61,0,40.0,1.0526315789473684,7.308937207809102,5,93.0,0.3414109349512481,5,93.0,11
80.0,37,0,6,28,65,0,67.0,1.8108108108108107,8.379681269741665,6,95.0,0.4672606178353256,6,95.0,11
85.0,38,0,2,33,71,0,6.0,0.1578947368421052,8.073452794031521,2,77.0,0.4900458331743691,2,77.0,11
90.0,35,0,8,39,74,0,30.0,0.8571428571428571,6.721952310749873,8,59.0,0.3446881006528633,8,59.0,11
95.0,37,0,14,43,80,0,87.0,2.3513513513513518,5.609957701813462,14,113.0,0.2430756671624088,14,113.0,11
100.0,36,0,20,47,83,0,171.0,4.75,4.020962438691289,20,197.0,0.1687129327202532,20,197.0,11
105.0,35,0,21,51,86,0,170.0,4.857142857142857,2.262085732268098,21,257.0,0.1091983245499391,21,257.0,11
110.0,36,0,15,52,88,0,112.0,3.111111111111111,4.577575016335598,15,266.0,0.2153738339553142,15,266.0,11
115.0,37,0,7,53,90,0,68.0,1.837837837837838,6.6085674143453215,7,219.0,0.2824078200703507,7,219.0,11
120.0,37,0,4,57,94,0,37.0,1.0,7.284066816906112,4,178.0,0.3205559883726757,4,178.0,11
125.0,35,0,0,62,97,0,0.0,0.0,7.186198557737036,0,146.0,0.3792962622614237,0,146.0,11
130.0,33,0,7,67,100,0,21.0,0.6363636363636364,6.271267559879291,7,150.0,0.2765160277815237,7,150.0,11
135.0,31,0,13,71,102,0,71.0,2.290322580645161,4.327804608811404,13,200.0,0.1927761786762797,13,200.0,11
140.0,31,0,18,75,106,0,152.0,4.903225806451613,3.052526415562386,18,281.0,0.1678870803989131,18,281.0,11
145.0,33,0,18,76,109,0,155.0,4.696969696969697,3.1859991956838245,18,324.0,0.1898382867259087,18,324.0,11
150.0,34,0,12,77,111,0,91.0,2.676470588235294,4.283502858774477,12,284.0,0.1951365508433878,12,284.0,11
155.0,38,0,9,77,115,0,50.0,1.3157894736842106,6.977137211281115,9,192.0,0.3124892946557852,9,192.0,11
160.0,38,0,1,81,119,0,2.0,0.0526315789473684,6.058093034351984,1,193.0,0.3107564939997985,1,193.0,11
165.0,35,1,7,86,121,0,25.0,0.7142857142857143,5.205817558184107,7,210.0,0.2398119202693849,7,210.0,11
170.0,37,0,13,89,126,0,79.0,2.135135135135135,3.8465658028068273,13,264.0,0.1526001208215938,13,264.0,11
175.0,35,0,13,93,128,0,78.0,2.2285714285714286,2.7669118366854355,13,282.0,0.1358068773095352,13,282.0,11
180.0,35,0,11,95,130,0,43.0,1.2285714285714286,3.993551911215602,11,247.0,0.1547658352329955,11,247.0,11
185.0,37,0,9,95,132,0,38.0,1.027027027027027,6.778218143582317,9,175.0,0.2645626795945489,9,175.0,11
190.0,37,0,2,99,136,0,13.0,0.3513513513513513,7.693396947052572,2,118.0,0.3607889575704303,2,118.0,11
195.0,34,1,3,105,139,0,23.0,0.6764705882352942,8.144154914250617,3,90.0,0.437703646527072,3,90.0,11
