step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode
235.0,25,0,8,128,153,0,30.0,1.2,6.859723730111748,8,30.0,0.2785136193077781,8,30.0,0
240.0,26,0,11,133,159,0,82.0,3.1538461538461537,7.731197954177735,11,82.0,0.4453316885321596,11,82.0,0
245.0,22,0,7,138,160,0,53.0,2.409090909090909,4.848811128590733,7,101.0,0.3021552650751032,7,101.0,0
250.0,25,0,2,138,163,0,5.0,0.2,7.179171183543333,2,71.0,0.3569821492374553,2,71.0,0
260.0,4,0,0,0,4,0,0.0,0.0,13.61645274429966,0,0.0,0.9709472675687932,0,0.0,1
265.0,6,0,0,0,6,0,0.0,0.0,14.453996173307951,0,0.0,0.9666804063862314,0,0.0,1
270.0,8,0,1,0,8,0,1.0,0.125,8.34358251574797,1,1.0,0.5647844962403041,1,1.0,1
275.0,12,0,5,0,12,0,15.0,1.25,7.161201493325245,5,15.0,0.4945260258298363,5,15.0,1
280.0,16,0,7,0,16,0,45.0,2.8125,7.113362725564935,7,45.0,0.4777846588186233,7,45.0,1
285.0,20,0,8,0,20,0,81.0,4.05,6.055072231870095,8,81.0,0.3872482121123213,8,81.0,1
290.0,23,0,12,1,24,0,135.0,5.869565217391305,4.9631734190012295,12,135.0,0.3358258824349444,12,135.0,1
295.0,26,0,12,2,28,0,76.0,2.923076923076923,4.4097313817837165,12,155.0,0.3258281096956668,12,155.0,1
300.0,29,0,5,2,31,0,17.0,0.5862068965517241,6.006591796444216,5,110.0,0.3240296669104651,5,110.0,1
305.0,36,0,4,2,38,0,22.0,0.6111111111111112,8.943538097350286,4,71.0,0.543545094380112,4,71.0,1
310.0,34,0,5,6,40,0,43.0,1.2647058823529411,8.7352802240275,5,56.0,0.5014380047532631,5,56.0,1
315.0,34,0,4,10,44,0,8.0,0.2352941176470588,7.669539907018922,4,42.0,0.4146131997545824,4,42.0,1
320.0,29,0,6,16,45,0,21.0,0.7241379310344828,6.617827066759094,6,28.0,0.2765590916879668,6,28.0,1
325.0,27,0,12,20,47,0,69.0,2.555555555555556,6.014569645466555,12,73.0,0.2131237870756161,12,73.0,1
330.0,28,0,14,23,51,0,136.0,4.857142857142857,5.351120767909223,14,140.0,0.2403838490636849,14,140.0,1
335.0,26,0,9,28,54,0,99.0,3.807692307692308,5.754361546719379,9,162.0,0.3561220920739393,9,162.0,1
340.0,26,0,1,31,57,0,2.0,0.0769230769230769,5.677214322212672,1,118.0,0.2945503337203042,1,118.0,1
345.0,31,0,3,31,62,0,11.0,0.3548387096774194,8.692291358886063,3,48.0,0.500655291559633,3,48.0,1
350.0,30,0,4,34,64,0,27.0,0.9,9.925031031200485,4,32.0,0.5964209370326634,4,32.0,1
355.0,29,0,0,39,68,0,0.0,0.0,8.18377707793211,0,17.0,0.4558405671726397,0,17.0,1
