step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.066867930166683,0,0.0,0.9658710984994038,0,0.0,0.9600171121729161,0,0.0,1.0,0,0.0,1.0,0,0.0,0.961686864841924,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9578121798901957,0,0.0,0.9610821935764473,0,0.0,0.963643013296099,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.964448735979185,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.302769183518302,0,0.0,0.9414035023667013,0,0.0,0.9771447241620553,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9765644412074663,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9756320139676433,0,0.0,0.9765423268315394,0,0.0,0.9771352369501536,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9757088915880008,0,0.0,1.0,0,0.0
15.0,40,0,3,0,40,0,4.0,0.1,10.659699571559376,1,2.0,0.6955364760932853,0,0.0,0.9544638807277828,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7023006028389852,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9448142906110633,0,0.0,0.9721547134760595,0,0.0,0.7067588126624018,0,0.0,0.9521819701322289,0,0.0,0.9285204543875464,0,0.0,0.9549555674272534,1,1.0,0.636929952024328,0,0.0,1.0,3,4.0
20.0,56,0,4,0,56,0,15.0,0.26785714285714285,9.983311883786154,3,14.0,0.7012552817938338,0,0.0,0.9520603309445503,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7379545598149447,0,0.0,0.47689007936789385,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6336068494130193,0,0.0,0.9471154318161202,0,0.0,0.7775705810619811,0,1.0,0.7701028338821934,0,0.0,0.983198189317497,0,0.0,0.9410536936902417,0,0.0,0.7321170829199275,0,0.0,0.40250062512328333,4,16.0
25.0,72,0,8,0,72,0,44.0,0.6111111111111112,10.553390589987597,5,33.0,0.5573473165969479,1,1.0,0.7603519589101836,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9605841915483093,0,2.0,0.9405772044115175,0,0.0,1.0,0,0.0,1.0,2,10.0,0.5268440669822986,0,0.0,0.9378858051105077,0,0.0,0.8387933692135924,0,2.0,0.8518947431328864,0,0.0,0.2308098313111464,0,0.0,0.8457249577232847,0,0.0,0.9748409982029677,0,2.0,0.9428585857783908,8,50.0
30.0,80,0,15,0,80,0,58.0,0.725,8.911333398089523,2,28.0,0.5266528654628004,3,15.0,0.43499141576187256,0,0.0,1.0,0,0.0,1.0,0,0.0,0.970317080468723,0,2.0,0.9504605825173311,0,0.0,1.0,0,0.0,1.0,4,27.0,0.3619952728241609,0,0.0,0.9328950201675966,2,6.0,0.6794810652461343,1,3.0,0.6237886373157182,1,3.0,9.018023958446118e-06,2,5.0,0.36797600936172575,0,0.0,0.9583492778078714,0,2.0,0.9558906497350088,15,91.0
35.0,96,0,28,0,96,0,166.0,1.7291666666666667,8.544660135435864,3,12.0,0.6632307807286913,5,36.0,0.5620573651486225,0,0.0,0.9397660059929427,0,0.0,1.0,1,1.0,0.6977450723313176,0,0.0,0.9557350047808558,0,0.0,0.901677329688486,0,0.0,1.0,7,57.0,0.2907046737039354,0,0.0,0.9504439002530678,4,20.0,0.4589510218929889,3,17.0,0.47018211001064864,1,8.0,0.7788026395169538,4,19.0,0.3880473594961225,0,0.0,0.9713076986690586,0,0.0,0.9481633496861162,28,170.0
40.0,112,0,26,0,112,0,221.0,1.9732142857142858,8.52818399300824,3,27.0,0.5652248539594182,1,32.0,0.6613718977390226,0,2.0,0.8799226332551712,0,0.0,1.0,3,11.0,0.5361186548865835,0,0.0,1.0,0,0.0,0.9469058457870979,0,0.0,1.0,9,95.0,0.2771435185270131,0,0.0,0.9749432325657943,5,44.0,0.42816695824683965,0,12.0,0.7018085066936065,0,0.0,0.7751984383927293,5,43.0,0.47793869106148756,0,0.0,0.7956556831120942,0,4.0,0.7011016840726506,26,270.0
45.0,120,0,32,0,120,0,326.0,2.716666666666667,6.3622948607787135,0,17.0,0.5361262683655335,3,11.0,0.5053120989719757,0,2.0,0.46920253235564646,0,0.0,1.0,4,28.0,0.38448488931292085,0,0.0,1.0,0,0.0,0.5711258253189103,0,0.0,1.0,10,143.0,0.15048415792357947,0,0.0,0.688940991956843,5,71.0,0.3591872206550197,1,5.0,0.7295134614803708,2,4.0,0.2844729297673365,5,68.0,0.2473484233600199,2,7.0,0.4855441504581646,0,4.0,0.7794157122843653,32,360.0
50.0,136,0,56,0,136,0,559.0,4.110294117647059,5.460439698236087,2,6.0,0.6449647762981439,7,37.0,0.2817876043132777,0,4.0,0.3093488302409255,0,2.0,0.391416715705195,6,51.0,0.33473140395020357,0,0.0,1.0,0,0.0,0.2787743549360081,0,0.0,0.436790959396928,12,200.0,0.17315459751225315,2,8.0,0.4875020958471972,5,98.0,0.5902513771964386,4,20.0,0.6428106212927593,4,20.0,0.0,8,104.0,0.06030597343299261,4,22.0,0.3635170857153492,2,9.0,0.5305983658686378,56,581.0
