run,agent,episode_return,discounted_return,mean_return,R_bar,theta_norm,theta_change,theta_update_norm
1,t,-638167.0,-171183.953125,-234347.4375,-23434.74375,1.0670599133800767,1.0780211992563293,1.0780211992563293
2,t,-18885.0,-7361.81884765625,-5798.39990234375,-21671.109365234377,1.0861460471949824,0.1173990722112257,0.1173990722112257
3,t,-19008.0,-7518.17578125,-5782.50244140625,-20082.248672851565,1.0015174776959017,0.3060146421374034,0.3060146421374034
4,t,-11855.0,-4761.45166015625,-3570.58154296875,-18431.081959863284,0.9839339893587141,0.15828623246975965,0.15828623246975965
5,t,-8936.0,-3482.82373046875,-2744.00244140625,-16862.37400801758,1.137016972157697,0.24795464538273787,0.24795464538273787
6,t,-10846.0,-4499.7080078125,-3195.644287109375,-15495.70103592676,1.049926994962332,0.12725801074339194,0.12725801074339194
7,t,-10374.0,-4322.42822265625,-3047.398193359375,-14250.870751670021,1.090301458344813,0.22183263044528334,0.22183263044528334
8,t,-9048.0,-3655.9619140625,-2714.298828125,-13097.213559315518,1.0521401548092808,0.2113065970015478,0.2113065970015478
9,t,-13761.0,-5337.62255859375,-4238.376953125,-12211.329898696467,1.1691763029527429,0.3636089364598418,0.3636089364598418
10,t,-10390.0,-4341.21435546875,-3046.09912109375,-11294.806820936197,1.2305384869480314,0.09028836088981157,0.09028836088981157
