run,agent,episode_return,discounted_return,mean_return,R_bar,theta_norm,theta_change,theta_update_norm
1,t,-59418.0,-21157.232421875,-19236.16796875,-1923.616796875,0.5092297668660147,0.49758278841672926,0.49758278841672926
2,t,-3216898.0,-888858.4375,-1168464.125,-118577.6676171875,0.45888769074337776,0.05439663643934027,0.05439663643934027
3,t,-3478636.0,-993443.6875,-1247563.375,-231476.23835546875,0.47275060047225986,0.015826750789389724,0.015826750789389724
4,t,-3330212.0,-933482.6875,-1203032.0,-328631.8145199219,0.47577564440333026,0.00987783290713741,0.00987783290713741
5,t,-3349036.0,-940940.625,-1208752.5,-416643.8830679297,0.40173858232153703,0.08433040350115183,0.08433040350115183
6,t,-3517608.0,-1009268.3125,-1259216.125,-500901.10726113676,0.4179896139542774,0.0195074905644022,0.0195074905644022
7,t,-3267840.0,-908723.625,-1184101.75,-569221.1715350231,0.4162539131299428,0.020086947327605083,0.020086947327605083
8,t,-3059064.0,-828799.875,-1119276.125,-624226.6668815209,0.34732177867253283,0.07502058478653928,0.07502058478653928
