episode,steps,mean_waiting,sum_waiting,max_waiting
0,200,3.889136055822973,48424.0,1264.0
1,200,1.0922014968904739,5471.0,140.0
2,200,1.1133639487150182,5203.0,187.0
3,200,1.863920922570212,9518.0,383.0
4,200,1.2145411021835995,5872.0,184.0
5,200,1.3672313296109102,6754.0,243.0
6,200,1.0289977499848533,5211.0,168.0
7,200,1.1016936791302925,5462.0,154.0
8,200,1.4606000733329676,7496.0,280.0
9,200,1.4606222471964312,6998.0,281.0
10,200,1.3909216855010393,7068.0,241.0
11,200,1.358877609592627,6567.0,222.0
12,200,4.165598742444342,22227.0,1164.0
13,200,1.341915555858833,6626.0,252.0
14,200,1.7345141683987606,8598.0,299.0
15,200,1.6319674747511252,7619.0,338.0
16,200,1.756331070377463,8649.0,303.0
17,200,1.5961841065800544,7513.0,259.0
18,200,1.899884887661656,9151.0,312.0
19,200,1.8843064143864792,9122.0,306.0
20,200,1.3237682180724901,6391.0,191.0
21,200,1.2895828329401444,6562.0,168.0
22,200,1.262689209315309,6293.0,198.0
23,200,2.16812904057386,10433.0,369.0
24,200,1.332472655131723,6636.0,221.0
25,200,1.3602135604998673,6651.0,166.0
26,200,1.6595634419942946,8187.0,203.0
27,200,1.6301002756628507,7838.0,278.0
28,200,1.378726197124009,6384.0,170.0
29,200,1.9176125672864888,9078.0,333.0
30,200,1.380707871430297,6707.0,225.0
31,200,1.6567925026574972,8053.0,248.0
32,200,2.221996924426935,10600.0,410.0
33,200,1.5589913186951057,7658.0,258.0
34,200,1.645918905553658,8236.0,452.0
35,200,1.29070451884892,6245.0,192.0
36,200,1.0631328314478388,4995.0,172.0
37,200,1.1393570246481222,5616.0,184.0
38,200,1.1865024341742831,5832.0,175.0
39,200,1.3218363244168534,6252.0,178.0
40,200,1.3123427055946186,6656.0,162.0
41,200,1.2911148109240593,6172.0,151.0
42,200,1.3260018526346715,6448.0,199.0
43,200,1.110697356335936,5405.0,153.0
44,200,1.274454808818544,6322.0,188.0
45,200,1.542401385452604,7739.0,290.0
46,200,1.0397177488068985,4856.0,147.0
47,200,1.2239876743059321,5987.0,174.0
48,200,1.418544847654008,6976.0,181.0
49,200,1.4675046242573617,7218.0,234.0
50,200,1.1311820640787067,5031.0,163.0
51,200,1.5672350353684117,7451.0,197.0
52,200,1.5693693433994886,7593.0,308.0
53,200,1.36513839392117,7002.0,260.0
54,200,1.0824504374874988,5160.0,159.0
55,200,1.3057386270470988,6527.0,165.0
56,200,1.5442964754257154,7713.0,225.0
57,200,1.0272130388003429,4881.0,172.0
58,200,1.101838811623707,5134.0,115.0
59,200,1.42327384332468,7385.0,310.0
60,200,1.2041029389061506,6078.0,141.0
61,200,1.2721838035471011,6140.0,183.0
62,200,1.2091196592261984,5968.0,183.0
63,200,1.2953010731505332,6477.0,159.0
64,200,1.340350087567199,6399.0,222.0
65,200,1.3232807184458173,6522.0,204.0
66,200,1.3673078463382498,6470.0,228.0
67,200,1.3786473667302366,6947.0,262.0
68,200,1.2464885156823862,5849.0,154.0
69,200,1.334477832752638,6433.0,168.0
70,200,1.5535213315813823,7432.0,206.0
71,200,1.1887546731502576,5597.0,199.0
72,200,1.3175652039952854,6581.0,207.0
73,200,1.213411070276954,5921.0,181.0
74,200,1.2613281178663762,6325.0,165.0
75,200,1.345792822068346,6407.0,170.0
76,200,1.1713028187568326,5799.0,184.0
77,200,1.2184268140347094,5613.0,157.0
78,200,1.3978301010968877,7032.0,264.0
79,200,1.016623749025963,4906.0,114.0
80,200,0.9323821152577301,4464.0,113.0
81,200,1.1741507149599553,5759.0,141.0
82,200,1.1497114399888029,5516.0,129.0
83,200,1.0938654759246222,5468.0,130.0
84,200,1.106257015871723,5276.0,162.0
85,200,1.283202051846123,6118.0,184.0
86,200,1.1243483273191652,5336.0,133.0
87,200,1.372417584029295,6714.0,224.0
88,200,1.0792945247802663,5466.0,122.0
89,200,1.836169511630182,9331.0,366.0
90,200,1.1614719407965,5448.0,152.0
91,200,1.3994044436090194,7546.0,225.0
92,200,1.1355934586714285,5802.0,124.0
93,200,0.9418189666595105,4562.0,96.0
94,200,1.2710878255972917,6335.0,164.0
95,200,1.2584979159260965,6222.0,153.0
96,200,1.07507826565673,5234.0,150.0
97,200,1.2023730909064618,5830.0,188.0
98,200,1.0770858319809336,5274.0,135.0
99,200,1.2067973803808847,5863.0,148.0
