step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,12,0,0,0,12,0,0.0,0.0,12.976583131687569,0,0.0,0.9220082791940644,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,12.152195123473732,0,0.0,0.875276901530182,0,0.0
15.0,18,0,3,0,18,0,4.0,0.2222222222222222,6.821482859865405,3,4.0,0.47396749453474923,3,4.0
20.0,18,0,6,0,18,0,32.0,1.7777777777777777,8.907219932787147,6,32.0,0.48043293357905364,6,32.0
25.0,23,0,6,1,24,0,62.0,2.6956521739130435,8.68071622670948,6,62.0,0.48624030722798917,6,62.0
30.0,18,0,6,6,24,0,92.0,5.111111111111111,8.674953226558497,6,92.0,0.4667165146831851,6,92.0
35.0,19,0,6,9,28,0,122.0,6.421052631578948,8.038332207644387,6,122.0,0.4483654118744799,6,122.0
40.0,23,0,6,11,34,0,152.0,6.608695652173913,9.33164964806532,6,152.0,0.5847194493651467,6,152.0
45.0,23,0,0,15,38,0,0.0,0.0,8.092622686850929,0,54.0,0.5816888399710186,0,54.0
50.0,24,0,6,16,40,0,22.0,0.9166666666666666,7.15637979382461,5,17.0,0.40725627232950556,5,17.0
55.0,26,0,7,18,44,0,47.0,1.8076923076923077,7.614084252861853,7,47.0,0.36928098824477673,7,47.0
60.0,22,0,1,22,44,0,1.0,0.045454545454545456,7.112540052912101,0,33.0,0.3742227741961463,0,33.0
65.0,24,0,0,26,50,0,0.0,0.0,8.728371069330782,0,0.0,0.6257635936449019,0,0.0
70.0,22,0,0,28,50,0,0.0,0.0,10.849528672353863,0,0.0,0.7956923378888393,0,0.0
75.0,30,0,0,32,62,0,0.0,0.0,11.947457812654104,0,0.0,0.8811490248960792,0,0.0
80.0,23,0,0,39,62,0,0.0,0.0,12.298093364743238,0,0.0,0.9389447124666046,0,0.0
85.0,24,0,1,44,68,0,2.0,0.08333333333333333,8.853325461021102,1,2.0,0.6051600756552652,1,2.0
90.0,20,0,6,48,68,0,25.0,1.25,7.737493426685087,6,25.0,0.4729101399701003,6,25.0
95.0,21,0,1,51,72,0,1.0,0.047619047619047616,8.500037009103425,0,11.0,0.5916127908663883,0,11.0
100.0,22,0,5,52,74,0,13.0,0.5909090909090909,8.846780548711935,5,13.0,0.47219710888838934,5,13.0
105.0,22,0,6,56,78,0,43.0,1.9545454545454546,7.912122572595113,6,43.0,0.4124686511918619,6,43.0
110.0,22,0,0,62,84,0,0.0,0.0,7.955696332895667,0,26.0,0.5910152796230828,0,26.0
115.0,24,2,3,62,86,0,6.0,0.25,9.483561932986097,1,2.0,0.6887957854348172,1,2.0
120.0,26,0,0,62,88,0,0.0,0.0,9.312054585425743,0,10.0,0.5344215129951487,0,10.0
125.0,24,2,6,68,92,0,13.0,0.5416666666666666,9.06468896490565,4,10.0,0.5220282628765142,4,10.0
130.0,22,0,4,72,94,0,30.0,1.3636363636363635,8.558282332023223,4,30.0,0.522185609544999,4,30.0
135.0,22,2,4,76,98,0,50.0,2.272727272727273,9.435091928485958,4,50.0,0.5781785210909655,4,50.0
140.0,21,0,4,79,100,0,70.0,3.3333333333333335,9.162953385625272,4,70.0,0.5538983917832005,4,70.0
145.0,23,2,0,83,106,0,0.0,0.0,10.82155994446032,0,0.0,0.7627903457892002,0,0.0
150.0,26,0,6,86,112,0,17.0,0.6538461538461539,10.305036031546818,6,17.0,0.6284899865895233,6,17.0
155.0,22,0,6,90,112,0,47.0,2.1363636363636362,7.664302632051374,6,47.0,0.3839152988491449,6,47.0
160.0,24,0,5,94,118,0,6.0,0.25,6.164881908559754,3,30.0,0.4047384282914539,3,30.0
165.0,24,0,6,94,118,0,25.0,1.0416666666666667,7.5579860989098036,5,27.0,0.3640411226906798,5,27.0
170.0,27,0,5,97,124,0,47.0,1.7407407407407407,8.710145552250536,4,39.0,0.4899481377876338,4,39.0
175.0,22,0,3,102,124,0,32.0,1.4545454545454546,9.359059366480292,2,32.0,0.6257174745645273,2,32.0
180.0,22,0,3,106,128,0,5.0,0.22727272727272727,7.810409163023661,3,6.0,0.3894627359834626,3,6.0
185.0,23,0,7,111,134,0,34.0,1.4782608695652173,8.386521922650733,7,35.0,0.49216210316124614,7,35.0
190.0,24,0,10,114,138,0,74.0,3.0833333333333335,6.707759617276687,10,75.0,0.410367779001694,10,75.0
195.0,24,0,3,116,140,0,8.0,0.3333333333333333,5.854714682562771,3,60.0,0.3708301390791902,3,60.0
200.0,27,0,5,117,144,0,21.0,0.7777777777777778,7.556978845669671,4,27.0,0.46856602397219665,4,27.0
205.0,27,0,4,119,146,0,26.0,0.9629629629629629,8.655749142636264,3,30.0,0.46668834135950693,3,30.0
210.0,27,0,4,123,150,0,40.0,1.4814814814814814,9.23264398109116,4,46.0,0.47945348902999935,4,46.0
215.0,22,0,4,128,150,0,45.0,2.0454545454545454,9.522960854998649,2,45.0,0.5121890458598573,2,45.0
220.0,28,0,2,134,162,0,52.0,1.8571428571428572,9.577366088173944,2,55.0,0.6576207531795071,2,55.0
225.0,24,0,2,138,162,0,62.0,2.5833333333333335,11.433967430749524,2,62.0,0.7747897360410254,2,62.0
230.0,27,0,4,141,168,0,75.0,2.7777777777777777,8.558588623212884,4,75.0,0.49238759636099405,4,75.0
235.0,21,0,8,147,168,0,111.0,5.285714285714286,7.2246783574431825,8,111.0,0.38632892885085873,8,111.0
240.0,24,0,0,148,172,0,0.0,0.0,7.41836107511648,0,32.0,0.42296623083468143,0,32.0
245.0,23,0,6,151,174,0,21.0,0.9130434782608695,9.148846353321572,6,21.0,0.4834601132882508,6,21.0
250.0,24,0,6,154,178,0,51.0,2.125,7.295646924134964,6,51.0,0.3225790294526361,6,51.0
255.0,23,0,0,161,184,0,0.0,0.0,7.544345168680513,0,36.0,0.5847348886288526,0,36.0
260.0,26,0,1,162,188,0,2.0,0.07692307692307693,9.098585603719537,0,5.0,0.7019513679232846,0,5.0
265.0,27,1,1,162,189,0,4.0,0.14814814814814814,9.485514349865054,1,9.0,0.5816536646726614,1,9.0
270.0,26,0,6,168,194,0,16.0,0.6153846153846154,8.746434801009654,4,14.0,0.550126760958309,4,14.0
275.0,21,0,3,173,194,0,27.0,1.2857142857142858,8.194926199307995,3,28.0,0.4833242346131598,3,28.0
280.0,23,0,4,177,200,0,46.0,2.0,9.459198602080619,4,47.0,0.6140235407472449,4,47.0
285.0,20,0,4,180,200,0,66.0,3.3,9.158522767729771,4,67.0,0.5554137845259317,4,67.0
290.0,26,2,5,184,210,0,87.0,3.3461538461538463,9.86162531112669,4,87.0,0.6794216491524089,4,87.0
295.0,24,0,4,188,212,0,106.0,4.416666666666667,9.66901615331775,4,107.0,0.6787081703073683,4,107.0
300.0,26,0,5,190,216,0,127.0,4.884615384615385,8.985571330095445,5,128.0,0.5608569574597456,5,128.0
305.0,26,0,8,192,218,0,162.0,6.230769230769231,7.486124495657821,8,163.0,0.3500136521065666,8,163.0
310.0,23,2,10,197,220,0,208.0,9.043478260869565,7.226807680547422,10,209.0,0.363580995505374,10,209.0
315.0,23,0,10,201,224,0,258.0,11.217391304347826,6.464143595636558,10,259.0,0.3413760812910253,10,259.0
320.0,24,2,10,202,226,0,308.0,12.833333333333334,7.713031640775124,10,309.0,0.4166484637761958,10,309.0
325.0,27,1,2,206,233,0,3.0,0.1111111111111111,7.609449323752125,2,125.0,0.5210920333838114,2,125.0
330.0,26,0,5,208,234,0,26.0,1.0,8.268226480228785,5,26.0,0.5141649868226339,5,26.0
335.0,29,0,9,209,238,0,58.0,2.0,8.168637619714728,9,58.0,0.44772865339125567,9,58.0
340.0,26,0,2,214,240,0,3.0,0.11538461538461539,6.271915526180506,2,38.0,0.3509115073416194,2,38.0
345.0,25,0,6,219,244,0,26.0,1.04,7.408549968613909,5,28.0,0.484615524406565,5,28.0
350.0,26,0,9,220,246,0,62.0,2.3846153846153846,7.970481240258124,7,55.0,0.4008560811802787,7,55.0
355.0,25,0,4,225,250,0,57.0,2.28,8.047209310216846,3,60.0,0.48954976366986447,3,60.0
360.0,21,0,5,229,250,0,67.0,3.1904761904761907,7.569146444109487,4,68.0,0.38422034055388105,4,68.0
365.0,29,0,6,233,262,0,88.0,3.0344827586206895,8.951829099273711,5,91.0,0.6180473582375042,5,91.0
370.0,26,0,3,236,262,0,93.0,3.576923076923077,9.139627890786103,3,93.0,0.6157141256544065,3,93.0
375.0,29,0,1,239,268,0,1.0,0.034482758620689655,7.779132732574589,1,1.0,0.44512493989293944,1,1.0
380.0,23,0,6,245,268,0,26.0,1.1304347826086956,8.14083601815183,6,26.0,0.42252974045020203,6,26.0
385.0,27,0,8,247,274,0,60.0,2.2222222222222223,7.651095428063848,8,60.0,0.3528481760281188,8,60.0
390.0,21,0,0,253,274,0,0.0,0.0,6.462335333028095,0,42.0,0.42623761577137265,0,42.0
395.0,22,0,2,256,278,0,8.0,0.36363636363636365,6.2581019674860014,1,10.0,0.44203139036010636,1,10.0
400.0,28,0,4,256,284,0,16.0,0.5714285714285714,9.658120864827401,3,14.0,0.683328999243586,3,14.0
405.0,28,0,3,260,288,0,10.0,0.35714285714285715,10.087194733491732,2,7.0,0.6760949974416411,2,7.0
410.0,25,0,3,265,290,0,6.0,0.24,8.685269504012233,2,3.0,0.5066808341320242,2,3.0
415.0,25,0,7,269,294,0,29.0,1.16,8.253144873909623,6,26.0,0.4542292638772373,6,26.0
420.0,22,0,4,272,294,0,40.0,1.8181818181818181,8.338379470720138,4,40.0,0.4178871178031802,4,40.0
425.0,23,0,1,277,300,0,2.0,0.08695652173913043,9.453796551698842,1,12.0,0.6152687465667522,1,12.0
430.0,18,0,5,282,300,0,16.0,0.8888888888888888,8.805388082776593,5,16.0,0.4824909727940965,5,16.0
435.0,27,0,7,285,312,0,44.0,1.6296296296296295,8.702755429013225,7,44.0,0.5666806031690595,7,44.0
440.0,24,0,1,288,312,0,1.0,0.041666666666666664,8.370734838140026,1,24.0,0.6317549064772482,1,24.0
445.0,29,0,5,289,318,0,10.0,0.3448275862068966,6.792835147003892,3,9.0,0.4444524729392751,3,9.0
450.0,29,0,7,289,318,0,28.0,0.9655172413793104,7.634116805635048,7,39.0,0.3979158307131223,7,39.0
455.0,29,0,7,293,322,0,55.0,1.896551724137931,7.472639296978129,6,58.0,0.36686003722640154,6,58.0
460.0,26,0,8,298,324,0,95.0,3.6538461538461537,7.893932179558974,7,93.0,0.4066753698146685,7,93.0
465.0,24,0,10,304,328,0,144.0,6.0,7.219478926722832,8,133.0,0.417387483802168,8,133.0
470.0,29,0,6,305,334,0,142.0,4.896551724137931,8.750701026377387,6,153.0,0.533876036660011,6,153.0
475.0,28,2,6,308,336,0,172.0,6.142857142857143,9.482717833784983,6,175.0,0.554126822997473,6,175.0
480.0,26,0,3,312,338,0,6.0,0.23076923076923078,6.19803183225783,3,70.0,0.30647970700029015,3,70.0
485.0,26,2,7,316,342,0,38.0,1.4615384615384615,8.486804949862648,6,37.0,0.5249207595498241,6,37.0
490.0,25,0,7,319,344,0,58.0,2.32,7.882671507118534,7,62.0,0.3217541384623678,7,62.0
495.0,23,2,0,325,348,0,0.0,0.0,7.218198071275506,0,31.0,0.47292649971689127,0,31.0
500.0,22,0,3,328,350,0,6.0,0.2727272727272727,8.14722800024978,2,18.0,0.5620363440253361,2,18.0
505.0,26,3,3,329,355,0,15.0,0.5769230769230769,10.036112951465437,1,10.0,0.7177461382859126,1,10.0
510.0,30,0,0,332,362,0,0.0,0.0,10.661006123419302,0,1.0,0.829774286400373,0,1.0
515.0,23,0,3,339,362,0,7.0,0.30434782608695654,10.261917967469874,1,2.0,0.7065811501961051,1,2.0
520.0,26,0,7,342,368,0,17.0,0.6538461538461539,7.562831434626457,7,17.0,0.39769844533967263,7,17.0
525.0,22,0,7,346,368,0,39.0,1.7727272727272727,7.922118296706282,6,41.0,0.3580300154668598,6,41.0
530.0,25,0,7,349,374,0,68.0,2.72,7.396497601664995,6,67.0,0.43192258150289636,6,67.0
535.0,20,0,7,354,374,0,103.0,5.15,8.252249697433564,6,97.0,0.4740821862175044,6,97.0
540.0,22,0,1,356,378,0,1.0,0.045454545454545456,7.288416520194142,0,37.0,0.462979576432908,0,37.0
545.0,24,0,5,360,384,0,18.0,0.75,9.015226359133765,5,18.0,0.5876611408028515,5,18.0
550.0,26,0,9,362,388,0,49.0,1.8846153846153846,8.739011318981328,9,49.0,0.4835683479553049,9,49.0
555.0,23,0,3,367,390,0,4.0,0.17391304347826086,6.478199370515182,2,35.0,0.3889717594370046,2,35.0
560.0,25,0,5,369,394,0,25.0,1.0,7.530051293005459,4,24.0,0.4589662973256909,4,24.0
