episode,steps,mean_waiting,sum_waiting,max_waiting
0,200,2.1044972530872594,15780.0,554.0
1,200,308.8471794698821,3062081.0,33959.0
2,200,0.7188578827246548,3209.0,85.0
3,200,316.61273347302205,3166802.0,34551.0
4,200,300.0958177725814,2961735.0,33366.0
5,200,310.9568563544609,3060254.0,33957.0
6,200,278.38309324337365,2768422.0,32231.0
7,200,275.2786966245913,2760669.0,32231.0
8,200,165.18427674962814,1653884.0,22782.0
9,200,315.87672937352716,3138864.0,34405.0
10,200,263.71591583062474,2588760.0,31170.0
11,200,297.5149347028152,2981978.0,33504.0
12,200,7.540836025351779,61139.0,2358.0
13,200,268.98933660907375,2700996.0,31861.0
14,200,302.5797566023608,2985219.0,33525.0
15,200,318.84981471474725,3121387.0,34299.0
16,200,310.57953999210685,3059289.0,33960.0
17,200,207.12858306898485,1978169.0,27196.0
18,200,175.37021912574136,1752622.0,25620.0
19,200,54.048859447702995,531613.0,8116.0
20,200,89.26302164451428,896824.0,15696.0
21,200,2.183374017391245,10821.0,520.0
22,200,2.0627003246519275,10154.0,359.0
23,200,12.48869574792477,104945.0,3103.0
24,200,0.987722858410423,4728.0,138.0
25,200,0.8410975289851035,3642.0,102.0
26,200,1.1550873137472122,6099.0,158.0
27,200,0.9495698220305168,4368.0,112.0
28,200,0.8591201581408963,4190.0,143.0
29,200,1.0191932719402488,4564.0,112.0
30,200,1.0948241275986654,5545.0,153.0
31,200,1.0652902308841783,5823.0,132.0
32,200,0.9680162336839438,4525.0,142.0
33,200,1.1952232169954593,6111.0,218.0
34,200,1.7312613134905528,13180.0,293.0
35,200,1.3572227175047578,6116.0,253.0
36,200,2.222202938879262,11891.0,477.0
37,200,1.0860894980730926,5203.0,167.0
38,200,0.9113589916624834,4521.0,129.0
39,200,1.1631470747942345,6297.0,223.0
40,200,2.63008433493456,12638.0,419.0
41,200,2.8494031133810496,15360.0,507.0
42,200,1.8071823982518966,8689.0,354.0
43,200,2.0408769578527237,9843.0,332.0
44,200,2.5553786334155957,12575.0,457.0
45,200,35.88042378526187,348953.0,7717.0
46,200,1.9696052135628932,10086.0,383.0
47,200,1.7525032209141205,8829.0,289.0
48,200,1.9665544664628631,9799.0,292.0
49,200,1.225530764791885,5599.0,140.0
50,200,1.2544364613388974,6136.0,262.0
51,200,0.9930320793505686,4914.0,142.0
52,200,0.7697600234846633,3564.0,93.0
53,200,0.7076620030290496,3310.0,83.0
54,200,0.9756844932441164,4705.0,147.0
55,200,1.0473309137762272,5069.0,186.0
56,200,1.1621090204806057,5937.0,141.0
57,200,1.9191742372776401,9258.0,244.0
58,200,1.9718218811209156,9699.0,277.0
59,200,2.1487339301435493,10575.0,410.0
60,200,1.8486284622080729,8821.0,234.0
61,200,5.120589019643725,27710.0,1032.0
62,200,1.120648282186026,5265.0,190.0
63,200,1.0066162389240065,4741.0,149.0
64,200,0.908810322461748,4553.0,125.0
65,200,0.9997360292295234,4721.0,110.0
66,200,0.8224315188800407,3859.0,143.0
67,200,321.92230047978495,3209862.0,34799.0
68,200,0.9229302670645559,4388.0,115.0
69,200,0.8805903368738861,4508.0,106.0
70,200,1.1437874817031486,7545.0,105.0
71,200,1.1827940471020835,7340.0,110.0
72,200,0.9506601813615387,5465.0,95.0
73,200,0.9110071420829385,4758.0,92.0
74,200,0.8968089480573725,4529.0,117.0
75,200,0.9390342452698819,4772.0,102.0
76,200,1.0063680218352,5932.0,96.0
77,200,0.793454630571339,3973.0,86.0
78,200,316.1899993511123,3067865.0,33999.0
79,200,0.9011374558047628,4618.0,148.0
80,200,0.8872315895675058,4278.0,95.0
81,200,0.8814259473911993,4522.0,103.0
82,200,0.8896658426826789,4857.0,89.0
83,200,0.9306663687812399,4871.0,98.0
84,200,1.1315735467628476,7246.0,120.0
85,200,0.9300170723865052,4964.0,92.0
86,200,0.8275431996469885,4150.0,100.0
87,200,0.8805116756376967,4816.0,99.0
88,200,0.8001124738050338,4249.0,108.0
89,200,290.32262853163326,2875974.0,32921.0
90,200,0.8869269839299456,4361.0,88.0
91,200,0.7659330181294838,3623.0,69.0
92,200,0.8720078918671464,4358.0,114.0
93,200,0.9164050443316356,5004.0,102.0
94,200,1.01673506301408,5732.0,102.0
95,200,0.9159559776739994,4539.0,129.0
96,200,0.793721410142597,4029.0,88.0
97,200,0.8155860270633779,4131.0,111.0
98,200,0.7225258722223741,3337.0,80.0
99,200,0.8129583254984841,3736.0,92.0
