run,agent,episode_return,discounted_return,mean_return,R_bar,theta_norm,theta_change,theta_update_norm
1,t,-499406.0,-155650.18094669137,-2497.03,-2435.831123701951,27.132548508857393,0.0,0.0
2,t,-680588.0,-219786.6684253569,-3402.94,-5181.928885270015,23.79891384918117,0.0,0.0
3,t,-115650.0,-62891.90993347332,-578.25,-99.06695438998662,25.975474747995214,0.0,0.0
4,t,-36292.0,-11948.9451411386,-181.46,-191.04603471638063,20.31571100843432,0.0,0.0
5,t,-492056.0,-147591.40328030463,-2460.28,-2250.336953007659,28.93325181819083,0.0,0.0
6,t,-82810.0,-44926.82913768838,-414.05,-108.23817797029716,22.594438682279247,0.0,0.0
7,t,-249974.0,-52926.748794634106,-1249.87,-3547.7281466336167,29.63253710043726,0.0,0.0
8,t,-64701.0,-38569.961200571815,-323.505,-75.92006943296275,21.187556819115837,0.0,0.0
9,t,-367248.0,-89150.80357396974,-1836.24,-4361.366781881393,28.33865605995815,0.0,0.0
10,t,-251708.0,-95728.16343806095,-1258.54,-2706.5908377822243,26.700319478252965,0.0,0.0
11,t,-484226.0,-179866.25980587618,-2421.13,-1827.4114912262344,25.913395460025033,0.0,0.0
12,t,-42798.0,-26118.9956408607,-213.99,-29.424976572744498,23.202724811530977,0.0,0.0
13,t,-320438.0,-71800.43776533063,-1602.19,-4163.317774349987,27.601143242962184,0.0,0.0
14,t,-124035.0,-62643.790320139204,-620.175,-380.21390600893795,21.82948384247471,0.0,0.0
15,t,-547091.0,-161922.38822301474,-2735.455,-3678.0305737451995,29.54837953229331,0.0,0.0
16,t,-132415.0,-63091.953454592,-662.075,-383.64495389505737,23.367093015636215,0.0,0.0
17,t,-29366.0,-16550.063110387913,-146.83,-35.16897105580257,22.040059780435335,0.0,0.0
18,t,-350921.0,-79013.62873382747,-1754.605,-4428.430994492263,30.106542939136,0.0,0.0
19,t,-109603.0,-65677.39512446383,-548.015,-59.97007530361367,26.769713100626685,0.0,0.0
20,t,-283617.0,-61056.83375001056,-1418.085,-3870.3623467524444,27.1185000773544,0.0,0.0
21,t,-75260.0,-49137.23223328309,-376.3,-20.892086908765602,26.461633300877278,0.0,0.0
22,t,-498705.0,-132468.24503220042,-2493.525,-4813.735557321547,27.51186854886403,0.0,0.0
23,t,-520787.0,-156845.67972370435,-2603.935,-4836.190046650327,28.747416598702614,0.0,0.0
24,t,-492335.0,-130814.12612012668,-2461.675,-4568.603542900705,28.816249195350533,0.0,0.0
25,t,-162992.0,-72461.17042903964,-814.96,-1140.061657163199,24.89425833327593,0.0,0.0
26,t,-46805.0,-27585.7591928969,-234.025,-42.4392027657532,20.96036509580739,0.0,0.0
27,t,-239209.0,-49124.365587761866,-1196.045,-3468.508655067017,28.866352712922843,0.0,0.0
28,t,-698530.0,-234810.4790594991,-3492.65,-3922.770574616232,29.508809642880795,0.0,0.0
29,t,-118284.0,-60627.19053940231,-591.42,-172.3174068983592,21.771593277924502,0.0,0.0
30,t,-51636.0,-21817.89047528812,-258.18,-171.73479281107367,19.931003277361597,0.0,0.0
31,t,-164566.0,-33430.79882883141,-822.83,-2675.8464783965537,28.205191678920546,0.0,0.0
32,t,-105692.0,-52215.048790659595,-528.46,-244.73262139160306,22.914544131017358,0.0,0.0
33,t,-29329.0,-10570.62740676663,-146.645,-517.3040713258813,25.54216689045918,0.0,0.0
34,t,-34787.0,-18738.99325534557,-173.935,-55.085796157892766,20.621640327572443,0.0,0.0
35,t,-410720.0,-102597.54750340185,-2053.6,-4163.6238562638855,26.457754596436654,0.0,0.0
36,t,-66376.0,-38395.627638431906,-331.88,-54.08785776944535,22.134118630903764,0.0,0.0
37,t,-73085.0,-23867.88112296909,-365.425,-277.38421672396936,19.158438450376686,0.0,0.0
38,t,-21295.0,-10148.731849409247,-106.475,-209.54057703997387,22.85317163081816,0.0,0.0
39,t,-502697.0,-144320.50668194474,-2513.485,-4710.527543438605,28.533951055801467,0.0,0.0
40,t,-184704.0,-71739.43039486732,-923.52,-1984.2519338022091,26.337772787567083,0.0,0.0
41,t,-86547.0,-42911.155885289954,-432.735,-213.99541373501572,21.53430005538917,0.0,0.0
42,t,-41993.0,-11707.482341651721,-209.965,-790.494015173126,26.598514263408234,0.0,0.0
43,t,-38925.0,-20514.50485140321,-194.625,-70.61562081228415,19.777922876590637,0.0,0.0
44,t,-380832.0,-94601.3947413621,-1904.16,-3856.3873140936917,28.500988289239412,0.0,0.0
45,t,-319616.0,-91697.49092985842,-1598.08,-3602.8902655381535,27.314491104557106,0.0,0.0
46,t,-85000.0,-51842.51375132323,-425.0,-50.82622144088913,27.106599642684635,0.0,0.0
47,t,-245439.0,-49337.59183216815,-1227.195,-3921.264374905091,26.925201234634564,0.0,0.0
48,t,-263697.0,-102175.33455617844,-1318.485,-2701.941025159339,26.950137501818375,0.0,0.0
49,t,-68747.0,-38847.46951666369,-343.735,-87.0113239145987,23.56783257929513,0.0,0.0
50,t,-402153.0,-97295.60803658872,-2010.765,-4445.487874995988,27.895385160435453,0.0,0.0
