step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode
230.0,44,0,22,124,168,0,261.0,5.931818181818182,2.9020152506092773,20,651.0,0.1962263131340629,20,651.0,0
235.0,44,0,14,124,168,0,70.0,1.5909090909090908,2.960183208388801,12,656.0,0.127779165755073,12,656.0,0
240.0,48,0,19,124,172,0,128.0,2.6666666666666665,4.88527642778399,17,669.0,0.1938323641356114,17,669.0,0
245.0,47,0,26,127,174,0,241.0,5.127659574468085,5.114818445624143,24,762.0,0.1983817277000545,24,762.0,0
250.0,46,0,16,132,178,0,95.0,2.065217391304348,4.5369222557381255,15,783.0,0.165282332532615,15,783.0,0
255.0,47,0,17,137,184,0,91.0,1.9361702127659572,5.351077415439265,17,840.0,0.2472251872215352,17,840.0,0
260.0,47,0,24,141,188,0,153.0,3.25531914893617,4.028945367006438,24,939.0,0.1830857971620108,24,939.0,0
265.0,43,1,21,146,189,0,131.0,3.046511627906977,3.249810296911878,20,861.0,0.2073952513019535,20,861.0,0
270.0,46,0,15,148,194,0,80.0,1.7391304347826086,4.04127070088308,13,892.0,0.2095242331140274,13,892.0,0
275.0,46,0,16,148,194,0,97.0,2.108695652173913,4.656029272447516,14,931.0,0.166994489572254,14,931.0,0
280.0,48,0,23,152,200,0,199.0,4.145833333333333,4.6945330636174205,21,1023.0,0.1980473180101592,21,1023.0,0
285.0,43,0,17,157,200,0,113.0,2.627906976744186,4.045297946669449,17,1075.0,0.135178953383488,17,1075.0,0
290.0,50,2,16,160,210,0,89.0,1.78,5.857450336266304,16,1151.0,0.2933424650092962,16,1151.0,0
295.0,46,0,21,166,212,0,116.0,2.5217391304347827,4.012295972218176,21,1246.0,0.2308986384823581,21,1246.0,0
300.0,45,2,18,169,214,0,108.0,2.4,2.663141650711251,17,1121.0,0.1747813906063484,17,1121.0,0
305.0,48,0,23,170,218,0,101.0,2.1041666666666665,3.2101373358314547,21,1189.0,0.1616981876160767,21,1189.0,0
310.0,50,2,21,170,220,0,128.0,2.56,3.879327072656507,19,1281.0,0.1564862261594334,19,1281.0,0
315.0,50,0,14,174,224,0,58.0,1.16,3.825113169575229,14,1323.0,0.1579290403923809,14,1323.0,0
320.0,47,2,19,179,226,0,71.0,1.5106382978723405,3.1483337000649767,19,1389.0,0.0946383676215731,19,1389.0,0
325.0,53,1,27,180,233,0,146.0,2.7547169811320757,4.3929926138266895,27,1506.0,0.1953336255423164,27,1506.0,0
330.0,48,0,28,186,234,0,258.0,5.375,1.8347140759131044,28,1643.0,0.0972382962148806,28,1643.0,0
335.0,50,0,28,188,238,0,218.0,4.36,2.4664552456726487,28,1522.0,0.158594920403456,28,1522.0,0
340.0,52,0,21,188,240,0,136.0,2.6153846153846154,2.530831425180848,19,1457.0,0.0894028290008109,19,1457.0,0
345.0,56,0,23,188,244,0,146.0,2.607142857142857,4.1113108471608575,21,1523.0,0.1616896391660316,21,1523.0,0
350.0,53,0,11,193,246,0,31.0,0.5849056603773585,3.5958479130963283,11,1565.0,0.1289786705022846,11,1565.0,0
355.0,53,0,20,197,250,0,73.0,1.3773584905660377,3.192799367003062,20,1637.0,0.1027040597100801,20,1637.0,0
360.0,49,0,30,201,250,0,185.0,3.7755102040816326,1.462396390315887,30,1761.0,0.0277816538773778,30,1761.0,0
365.0,57,0,28,205,262,0,169.0,2.9649122807017543,2.725935329733989,26,1621.0,0.1956393190580954,26,1621.0,0
370.0,57,0,20,205,262,0,105.0,1.8421052631578947,3.5038135743261924,18,1665.0,0.2008327821315367,18,1665.0,0
375.0,63,0,25,205,268,0,142.0,2.253968253968254,4.1034797356127335,23,1735.0,0.1782784471794739,23,1735.0,0
380.0,58,0,27,210,268,0,197.0,3.396551724137931,3.1061445801246106,25,1839.0,0.1000918424753275,25,1839.0,0
385.0,62,0,21,212,274,0,133.0,2.1451612903225805,3.420490188611486,20,1923.0,0.1105697106717835,20,1923.0,0
390.0,56,0,27,218,274,0,133.0,2.375,2.875550092849706,27,2031.0,0.0643153075728034,27,2031.0,0
395.0,57,0,36,221,278,0,214.0,3.754385964912281,2.4385612501771465,36,2199.0,0.0757803248489122,36,2199.0,0
