step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,12,0,0,0,12,0,0.0,0.0,12.914574729604732,0,0.0,0.9254802814038539,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,11.297099191942403,0,0.0,0.8163966993681834,0,0.0
15.0,18,0,4,0,18,0,8.0,0.4444444444444444,6.623521674310769,4,8.0,0.46651571856771756,4,8.0
20.0,18,0,0,0,18,0,0.0,0.0,9.849770358908716,0,5.0,0.733966760824895,0,5.0
25.0,23,0,0,1,24,0,0.0,0.0,9.421214694971974,0,0.0,0.49411606005581277,0,0.0
30.0,18,0,6,6,24,0,25.0,1.3888888888888888,8.853171861483702,6,25.0,0.4603032585521389,6,25.0
35.0,18,0,6,10,28,0,55.0,3.0555555555555554,5.115080422711226,6,55.0,0.26966575281004007,6,55.0
40.0,22,0,12,12,34,0,103.0,4.681818181818182,5.260120102356089,12,103.0,0.37078267553886257,12,103.0
45.0,26,0,15,12,38,0,172.0,6.615384615384615,4.8478827645534315,15,172.0,0.3430109226359883,15,172.0
50.0,28,0,18,12,40,0,254.0,9.071428571428571,3.98160053880826,18,254.0,0.22453337552246463,18,254.0
55.0,32,0,20,12,44,0,348.0,10.875,3.7604848372045847,20,348.0,0.1809365855744791,20,348.0
60.0,31,0,23,13,44,0,458.0,14.774193548387096,2.541242254298839,23,458.0,0.10718340951461026,23,458.0
65.0,34,0,27,16,50,0,584.0,17.176470588235293,2.495585344144822,27,584.0,0.17044328991801272,27,584.0
70.0,34,0,28,16,50,0,724.0,21.294117647058822,0.7194041603773882,28,724.0,0.05135069081932305,28,724.0
75.0,46,0,34,16,62,0,883.0,19.195652173913043,3.2599860958318834,34,883.0,0.2335540513506995,34,883.0
80.0,46,0,34,16,62,0,1053.0,22.891304347826086,2.493214636323909,34,1053.0,0.179442561550987,34,1053.0
85.0,52,0,40,16,68,0,1239.0,23.826923076923077,2.6411943238194677,40,1239.0,0.1321523308375936,40,1239.0
90.0,52,0,40,16,68,0,1439.0,27.673076923076923,1.932195226674858,40,1439.0,0.040294451358764916,40,1439.0
95.0,55,0,46,17,72,0,1658.0,30.145454545454545,2.151881466008075,46,1658.0,0.07653157952317867,46,1658.0
100.0,52,0,47,22,74,0,1889.0,36.32692307692308,0.3899468549147107,47,1889.0,0.028428356271833915,47,1889.0
105.0,56,0,39,22,78,0,1257.0,22.446428571428573,1.6054597619470254,39,1809.0,0.09565560383303741,39,1809.0
110.0,62,0,24,22,84,0,453.0,7.306451612903226,3.524972660955566,22,1531.0,0.1770427532228641,22,1531.0
115.0,66,0,16,22,88,0,97.0,1.4696969696969697,5.035569286927179,15,1373.0,0.24880980170688233,15,1373.0
120.0,61,0,9,27,88,0,19.0,0.3114754098360656,3.9823226339563127,9,1420.0,0.16190902874147445,9,1420.0
125.0,59,2,20,33,92,0,82.0,1.3898305084745763,2.8030586890470657,20,1496.0,0.11601412756635947,20,1496.0
130.0,58,0,33,36,94,0,214.0,3.689655172413793,1.4103695852679679,33,1634.0,0.04079055472398242,33,1634.0
