step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.199675216286852,0,0.0,0.9566745200869208,0,0.0,0.9512636656516712,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9537633781403039,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9551104651744156,0,0.0,0.9653693789325288,0,0.0,0.9550678457831137,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9578996467250175,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.100995900543435,0,0.0,0.9737817127057751,0,0.0,0.9736858155772818,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9701478347441979,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9739236160512674,0,0.0,0.9656112803722648,0,0.0,0.975442726823224,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9743231826510934,0,0.0,1.0,0,0.0
15.0,40,0,4,0,40,0,4.0,0.1,10.737428708214486,1,1.0,0.7550791078476953,0,0.0,0.9582644395540881,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7312610970354474,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9486981135154424,0,0.0,0.9696481949463805,1,1.0,0.7106663439847537,0,0.0,0.945359422733851,0,0.0,0.9477029689699475,0,0.0,0.9653693789325288,1,1.0,0.6198194702347787,0,0.0,1.0,4,4.0
20.0,56,0,8,0,56,0,24.0,0.42857142857142855,9.270740560374302,1,1.0,0.6819212776902659,2,5.0,0.5927807975377621,0,0.0,1.0,0,0.0,0.9463348098093867,2,9.0,0.5231912265976529,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9783778054831873,0,0.0,0.9077718283231478,3,11.0,0.5188324695969448,0,0.0,0.9636806532751384,0,0.0,0.9772012979952803,0,0.0,0.9744381091380533,0,0.0,0.6971260293887139,0,2.0,0.40585143848566513,8,28.0
25.0,72,0,11,0,72,0,58.0,0.8055555555555556,9.064396345724305,3,12.0,0.6318111173131721,2,16.0,0.6606443769924796,0,0.0,1.0,0,0.0,0.9604484314100958,0,2.0,0.6235588474210024,0,2.0,0.4626548274233252,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6576582088436171,1,2.0,0.5257215802504395,4,30.0,0.40155098018001856,0,0.0,0.9921456214835428,0,0.0,0.621116054174311,0,0.0,1.0,0,0.0,0.9388986771121582,0,3.0,0.9515853599976034,11,68.0
30.0,80,0,23,0,80,0,153.0,1.9125,8.077148271925367,5,32.0,0.5028704333254785,5,36.0,0.5817042088820794,0,0.0,1.0,0,0.0,0.4304334800913445,0,0.0,0.9465463131019052,0,4.0,0.9005170459804964,0,0.0,1.0,0,0.0,1.0,2,10.0,0.4922755332030358,4,18.0,0.39881249174977906,6,56.0,0.2930833715609511,0,0.0,1.0,1,4.0,0.1359545964969773,0,0.0,1.0,0,0.0,0.9307882099635592,0,3.0,0.9693434385378488,23,163.0
35.0,96,0,34,0,96,0,296.0,3.0833333333333335,7.240028099263031,7,64.0,0.43166925617684304,6,63.0,0.4665469112670492,0,0.0,0.8291324451289412,2,6.0,9.048608651843127e-05,0,0.0,0.9540843501880559,0,4.0,0.8600594106816773,0,0.0,1.0,0,0.0,1.0,4,27.0,0.5430771699221992,6,43.0,0.29567688294293476,9,93.0,0.23533559505221502,0,0.0,1.0,0,3.0,0.3093979474505862,0,0.0,1.0,0,0.0,0.740383185826777,0,0.0,0.9565116257040698,34,303.0
40.0,112,0,30,0,112,0,333.0,2.9732142857142856,7.637425070931796,9,104.0,0.42866634690235444,2,52.0,0.5124308590370871,0,2.0,0.9440102439574755,0,0.0,1.0,0,0.0,0.9705171275609844,0,0.0,0.8523485778363984,0,0.0,0.9413439144113216,0,4.0,0.36115997215212386,0,20.0,0.6277705532930664,8,78.0,0.2840321601803794,10,139.0,0.21124587379027698,0,4.0,0.47052704134911105,0,4.0,0.4708953477604649,0,0.0,1.0,1,4.0,0.7288260657308367,0,0.0,0.8437405591086563,30,411.0
45.0,120,0,36,0,120,0,488.0,4.066666666666666,7.120711192686914,10,152.0,0.35341876740649514,3,18.0,0.4994325256779562,0,2.0,0.6309573710988905,0,0.0,1.0,0,0.0,0.9549606953410625,0,0.0,0.8724419689547772,0,0.0,0.9005666877515456,0,4.0,0.9543084169538476,0,0.0,0.5107329760253406,10,122.0,0.16806164879237295,11,193.0,0.1832292299657541,0,4.0,0.8862622488421411,0,4.0,0.870651664842285,0,0.0,1.0,1,9.0,0.708617693212666,1,3.0,0.4663251581585711,36,511.0
50.0,136,0,53,0,136,0,727.0,5.345588235294118,6.651586322593447,12,210.0,0.2991137924135696,5,29.0,0.4448501202936992,4,16.0,0.06358561056077576,0,0.0,1.0,0,0.0,0.9487909375425524,0,0.0,0.9534906489232177,0,0.0,0.8068520292140957,0,4.0,0.5274222113461884,4,14.0,0.4179755983559478,11,174.0,0.18641833932980204,13,254.0,0.1313975420527157,0,4.0,0.9088238829945187,0,4.0,0.9003052344357346,0,0.0,1.0,1,14.0,0.7655747832364497,3,16.0,0.306238266306191,53,739.0
55.0,152,0,56,0,152,0,913.0,6.006578947368421,6.264097430164357,14,275.0,0.2796334275118332,1,29.0,0.5454379952923591,0,17.0,0.5033180765287731,0,4.0,0.4221937284977352,0,0.0,0.9859611460123135,0,0.0,0.9475253080316653,3,6.0,0.6016006991261424,2,10.0,0.00016463859258977463,0,15.0,0.6553528413659185,13,237.0,0.18777692280699732,16,326.0,0.1426478319054764,1,5.0,0.5728829707012232,0,0.0,0.8069678298631964,0,0.0,1.0,1,19.0,0.7078265174907465,5,40.0,0.42395870125361423,56,983.0
60.0,160,0,75,0,160,0,1211.0,7.56875,5.602372770901662,16,352.0,0.2504745533259059,2,14.0,0.5838197337781359,0,0.0,0.855754297819241,0,4.0,0.8520291822587174,0,2.0,0.8138033053771722,1,1.0,0.6343211584137789,7,31.0,0.3768679630362503,2,20.0,0.0,2,8.0,0.6799576384428178,15,308.0,0.2685292935487297,17,409.0,0.08039430927849633,6,22.0,0.07975809450429323,0,0.0,0.858122334886306,0,0.0,1.0,0,0.0,0.9502648984807519,7,67.0,0.29032217205786665,75,1238.0
65.0,176,0,85,0,176,0,1571.0,8.926136363636363,5.109587742244425,18,439.0,0.20270513907466395,4,26.0,0.5292691511539727,0,0.0,0.6921346957311406,0,4.0,0.8708587540083319,0,2.0,0.7957229904616185,1,6.0,0.46969168920540133,9,76.0,0.1839495191002736,0,0.0,1.0,3,21.0,0.7093297537731272,16,388.0,0.2569678087951581,19,500.0,0.07528961204127903,6,41.0,0.06679028899618537,0,0.0,1.0,0,0.0,1.0,1,1.0,0.5198585541515145,8,107.0,0.0810821222308268,85,1611.0
70.0,190,0,100,2,192,0,2020.0,10.631578947368421,4.822878141250509,20,535.0,0.22810037591222432,6,55.0,0.4913890108530045,0,0.0,0.39057179207208814,0,0.0,0.45411250706404493,3,10.0,0.6026936579359101,1,11.0,0.46939232018387234,13,138.0,0.14912168015388633,0,0.0,1.0,4,37.0,0.5829777953672771,19,474.0,0.2090565954206575,21,602.0,0.08860794452467659,0,25.0,0.35540014727935243,0,0.0,1.0,0,0.0,1.0,3,14.0,0.5175946562159043,10,153.0,0.328231465794901,100,2054.0
75.0,195,0,106,5,200,0,2466.0,12.646153846153846,4.411046522099084,21,637.0,0.19428860818302277,8,92.0,0.39566772402352907,0,0.0,0.4508127907620304,0,0.0,1.0,4,25.0,0.31731770700129747,1,16.0,0.0,16,209.0,0.26773913366322083,0,0.0,1.0,2,30.0,0.4066932004888378,21,573.0,0.23525170208630403,23,714.0,0.042041230843295654,0,4.0,0.6783776542861651,0,0.0,1.0,0,0.0,1.0,0,9.0,0.48952485438779053,10,205.0,0.4474642890165029,106,2514.0
80.0,208,0,114,8,216,0,2984.0,14.346153846153847,4.892138153644055,24,751.0,0.15335766110535415,10,139.0,0.36146672728602175,0,0.0,1.0,0,0.0,1.0,0,19.0,0.44968280673205485,1,25.0,0.6043139669316367,16,289.0,0.34797922909941115,0,0.0,1.0,6,24.0,0.48622876606482235,22,681.0,0.17453273827137675,25,836.0,0.050728608814308865,0,0.0,1.0,0,4.0,0.8304255958307417,0,0.0,1.0,0,0.0,0.835101065393021,10,253.0,0.5084052025469007,114,3021.0
85.0,216,0,123,16,232,0,3584.0,16.59259259259259,4.932914726580342,25,873.0,0.1810769935684805,12,197.0,0.34319631007467594,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8166935005486278,1,30.0,0.8089539654592752,17,369.0,0.24166663264314023,0,0.0,1.0,7,56.0,0.4151647256246491,24,798.0,0.07356946648349691,27,966.0,0.05751320623987349,0,0.0,1.0,0,2.0,0.8859928663853511,0,0.0,1.0,0,0.0,0.972342087601549,10,303.0,0.4171190728926364,123,3594.0
