step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.213358616767731,0,0.0,0.9304611684731096,0,0.0,0.9200337983604037,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9273470682363963,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9203558364683834,0,0.0,0.9325287961818737,0,0.0,0.9277745747913884,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9269565375025786,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.097007390263554,0,0.0,0.9191014488320959,0,0.0,0.9541167540262455,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9598492128788858,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.954191346404772,0,0.0,0.9624292632117379,0,0.0,0.9570823182440946,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.959492250865629,0,0.0,1.0,0,0.0
15.0,40,0,4,0,40,0,5.0,0.125,10.657041204271666,1,2.0,0.7461072988554526,0,0.0,0.938543782021846,0,0.0,1.0,0,0.0,1.0,1,1.0,0.5995315864125162,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9564689089339118,0,0.0,0.9581740582346654,1,1.0,0.677853136903707,0,0.0,0.9062029711858003,0,0.0,0.9644250817415808,0,0.0,0.9386810450099922,1,1.0,0.6276494254073628,0,0.0,1.0,4,5.0
20.0,56,0,2,0,56,0,9.0,0.16071428571428573,9.89297110531885,0,0.0,0.6915212457616964,0,0.0,0.9439002528298881,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7462715729818922,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9213253891572094,0,0.0,0.9507177094051569,2,9.0,0.6288537989107233,0,0.0,0.9453931984953964,0,0.0,0.9351532693151973,0,0.0,0.7458280512060793,0,0.0,0.6757541148550903,0,0.0,1.0,2,9.0
25.0,72,0,10,0,72,0,39.0,0.5416666666666666,9.541799799300627,2,7.0,0.6840252821454391,1,5.0,0.6356683347423263,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9423241567184697,0,3.0,0.8442933663074086,0,0.0,1.0,0,0.0,1.0,2,3.0,0.5218067039479097,0,0.0,0.8181694882267966,4,25.0,0.49840141950735173,0,0.0,0.8287074663217032,0,0.0,0.6956924810032612,1,2.0,0.667686192159178,0,0.0,0.9459672570146859,0,2.0,0.8036490323267402,10,47.0
30.0,80,0,22,0,80,0,121.0,1.5125,8.129702050020882,4,22.0,0.568716695491238,3,18.0,0.6256181718233774,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9630108906102122,0,3.0,0.9463020477046274,0,0.0,1.0,0,0.0,1.0,4,19.0,0.35454611042729134,2,3.0,0.5261443660942792,6,51.0,0.31795074953586333,1,2.0,0.021242314770328674,1,2.0,0.07533729232065853,1,7.0,0.2792235654991446,0,0.0,0.9653047894076406,0,2.0,0.9567103933252404,22,129.0
35.0,96,0,34,0,96,0,273.0,2.84375,7.0453370031618325,5,44.0,0.48756450194505163,5,39.0,0.46624400678936556,0,0.0,0.9261397390658557,0,0.0,1.0,0,0.0,0.6425268177239655,0,0.0,0.9173386975097486,0,0.0,0.9206429154984438,0,0.0,1.0,5,44.0,0.46623321155353253,3,17.0,0.3908775198906813,8,86.0,0.25676353400042057,2,11.0,6.0985835229162125e-05,2,10.0,0.0002311374143325617,4,22.0,0.0001109958157424896,0,0.0,0.7639191160381211,0,0.0,0.9263292828339422,34,273.0
40.0,112,0,39,0,112,0,407.0,3.6339285714285716,6.801324144741487,7,77.0,0.49520526780546215,7,71.0,0.4051722868931923,0,4.0,0.7793899189457522,0,2.0,0.3360172296583717,2,9.0,0.4452766708406745,0,0.0,1.0,0,0.0,0.948848976266471,0,0.0,1.0,7,77.0,0.4751502810154012,5,41.0,0.3637900612260732,10,131.0,0.21300521996689034,0,0.0,1.0,0,0.0,1.0,0,11.0,0.2219298981873436,0,0.0,0.779518835273523,1,3.0,0.5664080423444287,39,426.0
45.0,120,0,55,0,120,0,658.0,5.483333333333333,5.378252482267635,9,119.0,0.3331411662267417,9,113.0,0.35875686272816426,0,4.0,0.5374311583259247,0,4.0,0.8586934105224173,5,33.0,0.4126789618796945,0,0.0,1.0,0,0.0,0.630677893199622,0,0.0,1.0,9,121.0,0.3233763821604109,7,73.0,0.38328333009700366,12,186.0,0.1414647779369433,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.47831143115440594,3,14.0,0.370490498423618,55,671.0
50.0,136,0,73,0,136,0,949.0,6.977941176470588,4.752102281338859,11,171.0,0.3328829285110804,11,166.0,0.3307075512710885,5,18.0,0.2743984795563187,0,4.0,0.9424162958542378,1,28.0,0.5331925462292845,0,4.0,0.5619898593027859,3,10.0,0.043199929126116414,0,0.0,1.0,11,173.0,0.33903912671915054,10,116.0,0.4146844884553651,14,250.0,0.13485421839195408,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,16.0,0.3875510265524573,4,31.0,0.3154350275858093,73,987.0
