step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.235590175935274,0,0.0,0.9495878133873564,0,0.0,0.9559226912916232,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9466122318751584,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9506416916263865,0,0.0,0.949434602397087,0,0.0,0.9488487705994663,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.95254827181114,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.498664939621056,0,0.0,0.9623610677781023,0,0.0,0.9755869807722638,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9710349438686492,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9730175270393011,0,0.0,0.9720992787989826,0,0.0,0.9709043636694618,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9627848123213398,0,0.0,1.0,0,0.0
15.0,40,0,4,0,40,0,6.0,0.15,10.782565532048721,1,2.0,0.7500786862366062,0,0.0,0.9546689067885333,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6325144241637031,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9246457322338871,0,0.0,0.9429339998566383,1,1.0,0.714437733369051,0,0.0,0.9559226912916232,0,0.0,0.9404392740403822,0,0.0,0.9624198624087534,1,2.0,0.5927078010719475,0,0.0,1.0,4,6.0
20.0,56,0,4,0,56,0,11.0,0.19642857142857142,9.990708367100146,1,1.0,0.6836293496693333,0,3.0,0.7729009425549584,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7453403901788602,0,2.0,0.5091333798081548,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7087671961445037,0,0.0,0.7304859897439775,3,10.0,0.5183157039954169,0,0.0,0.9517055950382973,0,0.0,0.9416864784572389,0,0.0,0.9265262425333347,0,0.0,0.7801980085089097,0,3.0,0.4480706416032091,4,19.0
25.0,72,0,10,0,72,0,51.0,0.7083333333333334,10.72210119453998,2,10.0,0.6623161013439562,0,3.0,0.9251717463363267,0,0.0,0.9812986210302649,0,0.0,1.0,0,0.0,0.9681910484626967,0,2.0,0.9044948658404022,0,0.0,1.0,0,0.0,1.0,2,7.0,0.6982416085754759,2,6.0,0.528260918351469,4,28.0,0.39118636135646484,0,0.0,0.9356015316194852,0,0.0,0.9401820498811038,0,0.0,0.9114456315994803,0,0.0,0.9817037261867876,0,3.0,0.9592012594812855,10,59.0
30.0,80,0,20,0,80,0,127.0,1.5875,9.397278833699803,5,30.0,0.4700937421342679,0,3.0,0.8922022682561814,0,0.0,0.9132898000457441,0,0.0,0.9275541280248885,0,0.0,0.9412927585248204,0,2.0,0.9214410487420691,0,0.0,1.0,0,0.0,1.0,4,19.0,0.45488992909781983,4,22.0,0.3710026138725653,7,56.0,0.2726424424384384,0,0.0,0.9519009704951528,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9406459955806131,0,3.0,0.9539363598853056,20,135.0
35.0,96,0,22,0,96,0,201.0,2.09375,8.341885803740775,7,60.0,0.4893453415837591,1,2.0,0.7406910218754884,0,0.0,0.912986381432576,0,0.0,0.912570504631059,0,0.0,0.745616321302301,0,0.0,0.9155954950549029,0,0.0,0.9020903081366342,0,0.0,1.0,0,9.0,0.5974068057419514,5,45.0,0.3034258574113087,8,93.0,0.24808337650911264,0,0.0,0.9212525350699123,0,2.0,0.48553151826676116,0,0.0,1.0,1,1.0,0.7892037767769119,0,0.0,0.6283157411479054,22,212.0
40.0,112,0,38,0,112,0,357.0,3.1875,7.525938975594001,9,100.0,0.4578826621136114,3,13.0,0.5687584848310119,0,0.0,0.9631790401677711,2,3.0,0.0038189991033045776,2,6.0,0.551818047459008,0,0.0,0.8956980616510541,0,0.0,0.822753392058249,0,0.0,1.0,0,0.0,0.8658328805061337,7,80.0,0.3089168574467023,10,138.0,0.21089781726897958,0,0.0,1.0,0,4.0,0.8797390115546625,0,0.0,1.0,2,7.0,0.5535930491135238,3,10.0,0.3528491812628176,38,361.0
45.0,120,0,53,0,120,0,578.0,4.816666666666666,5.973066341686721,10,148.0,0.3017140271408797,5,33.0,0.48932759381691676,2,2.0,0.0013639581658911847,0,0.0,1.0,4,22.0,0.4746553310347505,0,0.0,0.700777611312325,0,0.0,0.69104757190417,0,4.0,0.4112825488743549,2,2.0,0.6075770830966436,9,123.0,0.22198120567335758,12,193.0,0.1378263812149869,0,0.0,1.0,0,4.0,0.8889771207884054,0,0.0,1.0,4,22.0,0.3634269777310598,5,33.0,0.16615353172921105,53,586.0
50.0,136,0,50,0,136,0,723.0,5.3161764705882355,5.545328730490111,12,205.0,0.2806195970117417,7,61.0,0.5304555201417215,2,14.0,0.5366079034130739,0,0.0,1.0,0,13.0,0.45953594228231776,1,7.0,0.6539943907904523,4,11.0,0.4187976407889301,0,4.0,0.9465320324669205,0,1.0,0.43848430449694287,10,177.0,0.20244415952582714,14,256.0,0.1302706769967344,0,0.0,1.0,0,0.0,0.8481408460383016,0,0.0,1.0,0,16.0,0.43231972935344665,0,26.0,0.1563689958689326,50,791.0
