step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,12.916165061906296,0,0.0,0.9279657535261085,0,0.0,0.9333698143334892,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9149055243567847,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9345548452839498,0,0.0,0.9377621542164566,0,0.0,0.933357327405608,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9274090660090499,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.123999885424098,0,0.0,0.9488004903484318,0,0.0,0.951922249020544,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9424246140861183,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9523770384947635,0,0.0,0.9558582967298598,0,0.0,0.9527992700099185,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8862817495177843,0,0.0,1.0,0,0.0
15.0,40,0,3,0,40,0,6.0,0.15,11.711091803160675,1,2.0,0.7859960381416048,0,0.0,0.9565142751109831,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8253681473745701,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.954397240034645,0,0.0,0.9606952324511525,1,2.0,0.6463850978508984,0,0.0,0.994687099836084,0,0.0,0.9949945658262209,0,0.0,0.9699659737188606,1,2.0,0.7605565237039025,0,0.0,1.0,3,6.0
20.0,56,0,6,0,56,0,24.0,0.42857142857142855,10.343592804096492,3,12.0,0.6737942111028754,0,0.0,0.7372258378997797,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8129875402442803,0,1.0,0.5605544733368343,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7428859226884397,0,0.0,0.8215152191705983,3,12.0,0.5928950769421085,0,0.0,0.9376070500572394,0,0.0,0.9449482099763394,0,0.0,0.9399818036835415,0,0.0,0.7936639516189418,0,2.0,0.6371574707999619,6,27.0
25.0,72,0,10,0,72,0,50.0,0.6944444444444444,9.804545323594285,0,4.0,0.6503944926468276,3,11.0,0.5162479528564022,0,0.0,0.9949945658262209,0,0.0,0.9436686083552026,0,0.0,0.9754014733974391,0,1.0,0.8317596751535691,0,0.0,1.0,0,0.0,1.0,2,7.0,0.5904482953423523,1,3.0,0.7314178713414446,4,31.0,0.4891684434382553,0,0.0,0.9655560688177214,0,0.0,0.9550633736296743,0,0.0,0.9623108429282738,0,0.0,0.9838478065415618,0,2.0,0.8448852390695066,10,59.0
30.0,80,0,22,0,80,0,126.0,1.575,8.74265913681764,3,7.0,0.6429828319046254,4,29.0,0.587958983239971,0,0.0,0.9442381706719976,0,0.0,0.9561279912510372,0,0.0,0.9589200075096729,0,0.0,0.8567047338860684,0,0.0,1.0,0,0.0,1.0,4,23.0,0.36566894270858824,3,13.0,0.4381048293075308,7,57.0,0.2745193781388503,1,1.0,0.0024839120344122023,0,0.0,0.008185398293093551,0,0.0,1.0,0,0.0,0.9447622779971961,0,2.0,0.8877346491856166,22,132.0
35.0,96,0,26,0,96,0,210.0,2.1875,7.549623713918353,4,23.0,0.5501641203437045,5,51.0,0.5924959590376114,0,0.0,1.0,1,1.0,0.26423744932169,0,0.0,0.9470312527838335,0,0.0,0.8815278090664136,0,0.0,0.9720140071573331,0,0.0,1.0,0,19.0,0.43291778209566,4,32.0,0.4192443482722287,8,94.0,0.24179392563868493,1,6.0,0.0,1,7.0,0.18832878096627043,0,0.0,1.0,0,0.0,0.8067085324139903,2,4.0,0.287831978286262,26,237.0
40.0,112,0,44,0,112,0,379.0,3.3839285714285716,7.175582309422198,7,50.0,0.4599002998103058,8,82.0,0.47673254517337305,0,2.0,0.36470327985365864,3,11.0,0.0007001741902684568,0,0.0,0.9743722610201997,0,0.0,0.9161730326934994,0,0.0,0.8418234578117589,0,0.0,1.0,0,0.0,0.8298887641960067,7,60.0,0.30818445507845804,10,139.0,0.22719220701840362,1,11.0,0.0,0,4.0,0.8167063221463718,0,0.0,1.0,2,5.0,0.6447716892127523,6,23.0,0.00573455224098451,44,387.0
45.0,120,0,48,0,120,0,580.0,4.833333333333333,6.6352410112085325,8,87.0,0.35644506163254597,9,126.0,0.3916046685197578,0,2.0,0.9488746249317918,0,5.0,0.20312838308650433,0,0.0,0.9720270183199395,0,0.0,0.7850070748438731,0,0.0,0.6479079416356458,0,4.0,0.37206015317202357,0,0.0,0.9362780132468751,8,97.0,0.1991070287526778,12,194.0,0.14702790626362805,0,0.0,1.0,0,4.0,0.9018235749424339,0,0.0,1.0,4,21.0,0.3068467195168437,7,59.0,0.057782159403050724,48,599.0
50.0,136,0,58,0,136,0,816.0,6.0,6.37896196406471,11,134.0,0.3539948666228924,11,176.0,0.29821346231087026,0,2.0,0.9365764966819659,0,0.0,1.0,1,1.0,0.8015894678256259,1,3.0,0.7264869939393954,3,8.0,0.4953655624211786,0,4.0,0.842007979023936,0,0.0,0.8388647475124494,10,145.0,0.302376654110339,14,259.0,0.15636626777529822,0,0.0,1.0,0,0.0,0.8820874077750815,0,0.0,1.0,0,18.0,0.4157121427788747,7,96.0,0.1583343220382901,58,846.0
