step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,12.594897722168657,0,0.0,0.9373293720999013,0,0.0,0.9268871988275637,0,0.0,1.0,0,0.0,1.0,0,0.0,0.934656429119559,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9343150458142488,0,0.0,0.9399698666381929,0,0.0,0.9321148348888666,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.939353607494992,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.061835205025169,0,0.0,0.956541412097967,0,0.0,0.9514446311190868,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9552389147132363,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9547279708584594,0,0.0,0.9583696883101609,0,0.0,0.952839840455306,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9585584846503187,0,0.0,1.0,0,0.0
15.0,40,0,2,0,40,0,4.0,0.1,10.852122358378349,1,2.0,0.7986026420684937,0,0.0,0.8979481376355116,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6697350643952571,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9242858519963706,0,0.0,0.9713302595883496,0,0.0,0.7385740093332614,0,0.0,1.0,0,0.0,0.9282080759862485,0,0.0,0.9730168575792338,1,2.0,0.5657399326478925,0,0.0,1.0,2,4.0
20.0,56,0,4,0,56,0,13.0,0.23214285714285715,9.720238323058968,0,0.0,0.7599296588995199,2,5.0,0.6115653019195033,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8065473369854541,0,1.0,0.44530347545476806,0,0.0,1.0,0,0.0,1.0,0,0.0,0.957312024078546,0,0.0,0.7329503844221279,2,9.0,0.583070294296486,0,0.0,0.9925896000110939,0,0.0,0.964510795552981,0,0.0,0.9603835736770175,0,1.0,0.7236654535580486,0,2.0,0.41533272793878706,4,18.0
25.0,72,0,11,0,72,0,54.0,0.75,10.18154211050029,3,7.0,0.6977835200065534,2,17.0,0.6603443267069871,0,0.0,1.0,0,0.0,0.9552871077470895,0,0.0,0.9616912778487555,0,3.0,0.8750621569235179,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9611273905113127,2,6.0,0.568316817277199,4,27.0,0.45812341655330596,0,0.0,0.9387510811420583,0,0.0,0.9400532396472544,0,0.0,0.9654459915033452,0,0.0,0.9536389028814402,0,4.0,0.866464878767243,11,64.0
30.0,80,0,21,0,80,0,141.0,1.7625,8.914145348555236,4,24.0,0.6092003425097111,5,36.0,0.586350501056989,0,0.0,0.9715361322246012,0,0.0,0.9615496669983588,0,0.0,0.9796550316289521,0,3.0,0.9238575924225061,0,0.0,1.0,0,0.0,1.0,2,5.0,0.5116768421334448,4,23.0,0.4101841420518197,6,56.0,0.24392308133784796,0,0.0,1.0,0,0.0,0.9855296168998265,0,0.0,1.0,0,0.0,0.9008019952715394,0,4.0,0.9646639078596561,21,151.0
35.0,96,0,33,0,96,0,278.0,2.8958333333333335,7.324830938863713,6,47.0,0.4961901658388482,7,63.0,0.5046291400265804,0,0.0,0.8496750318534222,1,1.0,0.46842957856531775,0,0.0,0.8255118071707157,0,0.0,0.7832578088986742,0,0.0,0.9502527308355809,0,0.0,1.0,3,20.0,0.5793971720460893,6,47.0,0.30400983386024494,8,95.0,0.22400173849769314,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.7996473449119689,1,4.0,0.5164988166254852,33,280.0
40.0,112,0,47,0,112,0,485.0,4.330357142857143,6.420937829681661,7,80.0,0.44328081161303134,8,100.0,0.4212495047977953,0,0.0,0.9486638535459481,2,7.0,0.003462630699510759,2,6.0,0.555771310183676,0,0.0,0.9247513066638279,0,0.0,0.8119803084641174,0,0.0,1.0,5,41.0,0.526202003019197,7,81.0,0.28978537848871316,10,143.0,0.21791171600087775,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,8.0,0.6992978005892331,5,21.0,0.3863685760984386,47,487.0
45.0,120,0,57,0,120,0,685.0,5.708333333333333,5.068879151128872,9,123.0,0.37838615680659926,11,150.0,0.3647501827334063,0,0.0,0.010846420982870652,0,0.0,1.0,4,21.0,0.3086672640784646,0,0.0,0.9031876480700463,1,1.0,0.7721992393582319,0,2.0,0.4336667670448926,2,33.0,0.43449932825826687,9,124.0,0.19468809362052636,12,198.0,0.12346055950333741,0,0.0,1.0,0,4.0,0.45452333688715457,0,0.0,1.0,2,16.0,0.577651102960364,7,50.0,0.3213666278162892,57,722.0
50.0,136,0,64,0,136,0,936.0,6.882352941176471,5.024349492489775,11,176.0,0.34798896022064063,13,207.0,0.29009329121000504,1,5.0,0.0,0,0.0,1.0,0,16.0,0.48174688198451243,0,4.0,0.6389966925342669,3,10.0,0.42709270606680233,0,4.0,0.9741162761251224,3,14.0,0.548220164971903,11,177.0,0.17950233749332428,14,263.0,0.14364698281336613,0,0.0,1.0,0,4.0,0.841359345967121,0,0.0,1.0,1,1.0,0.654432813852391,7,85.0,0.2047936257017836,64,966.0
