run,agent,episode_return,discounted_return,mean_return,R_bar,theta_norm,theta_change,theta_update_norm
1,t,-378292.0,-199157.234375,-181126.34375,-18112.634375,0.11929174314767979,0.08508104338941093,0.08508104338941093
2,t,-266128.0,-140638.46875,-126895.8984375,-28990.960781250003,0.15340177208948488,0.0585982435867438,0.0585982435867438
3,t,-350155.0,-187961.15625,-164073.46875,-42499.211578125,0.16880189647126778,0.02651389979234897,0.02651389979234897
4,t,-565546.0,-290994.8125,-277461.15625,-65995.40604531251,0.24824084287697895,0.11961484181473803,0.11961484181473803
5,t,-1206511.0,-586985.875,-625395.0625,-121935.37169078126,0.24133808104218665,0.011710628812311993,0.011710628812311993
6,t,-1336854.0,-656144.125,-687271.4375,-178468.97827170315,0.23957151853342643,0.007125685505222034,0.007125685505222034
7,t,-654344.0,-311699.53125,-345761.4375,-195198.22419453284,0.2596755968806181,0.028683692268001715,0.028683692268001715
8,t,-1117613.0,-552768.4375,-570372.25,-232715.62677507958,0.2483793987924063,0.01464711902848171,0.01464711902848171
9,t,-1555329.0,-765643.4375,-797342.0625,-289178.27034757164,0.2392528260039512,0.0116210710421019,0.0116210710421019
10,t,-1141903.0,-544417.375,-602929.75,-320553.4183128145,0.2319424535104058,0.012512187096047777,0.012512187096047777
11,t,-1435224.0,-703119.1875,-739136.0,-362411.6764815331,0.2158795269642981,0.021180425743458797,0.021180425743458797
12,t,-878505.0,-419196.15625,-463500.8125,-372520.59008337976,0.1931561373642312,0.031157289918018825,0.031157289918018825
13,t,-1004890.0,-486297.0625,-523456.0,-387614.13107504183,0.18423143595950106,0.035481616238327594,0.035481616238327594
14,t,-381133.0,-195938.0625,-187154.3125,-367568.14921753766,0.18097217493473158,0.020636863061158982,0.020636863061158982
15,t,-834755.0,-420175.96875,-418780.75,-372689.4092957839,0.23772431911904923,0.09315299413858193,0.09315299413858193
16,t,-791391.0,-391486.15625,-403819.6875,-375802.4371162055,0.22744302579036318,0.033431968803836865,0.033431968803836865
17,t,-1030047.0,-490140.875,-544807.5625,-392702.949654585,0.2339447929918171,0.017706396060492315,0.017706396060492315
18,t,-751924.0,-354310.5,-401156.59375,-393548.31406412646,0.24390186010749149,0.03198182572935778,0.03198182572935778
19,t,-672190.0,-317897.125,-357471.8125,-389940.66390771384,0.2391900355161714,0.01846157617444739,0.01846157617444739
20,t,-746058.0,-357845.4375,-391791.03125,-390125.7006419425,0.2657766216980495,0.035098383526411585,0.035098383526411585
21,t,-745326.0,-360361.34375,-388568.28125,-389969.95870274823,0.26136537640917845,0.022031761519255302,0.022031761519255302
22,t,-628978.0,-307665.15625,-324389.46875,-383411.9097074734,0.25232674717395015,0.03523556208402627,0.03523556208402627
