episode,steps,mean_waiting,sum_waiting,max_waiting
0,100,29.37472234847749,223142.0,7498.0
1,100,104.3320465657613,1133366.0,33575.0
2,100,130.32187415192874,1434923.0,38217.0
3,100,84.86428896987407,833976.0,22861.0
4,100,91.34290509613042,903776.0,23322.0
5,100,30.48560745500402,240108.0,7837.0
6,100,75.97698086106485,611702.0,13739.0
7,100,73.55884260988418,621867.0,15446.0
8,100,84.34222345044114,939379.0,27595.0
9,100,65.93814026301615,692007.0,24578.0
10,100,66.42077435092968,599325.0,21433.0
11,100,29.835504933664428,194270.0,6187.0
12,100,68.15001253717755,638190.0,21839.0
13,100,59.7694558406218,548886.0,19629.0
14,100,53.027804417417045,499972.0,19482.0
15,100,53.07786464345909,412128.0,12598.0
16,100,40.96216489450383,329749.0,9759.0
17,100,115.7104994965394,1325396.0,37390.0
18,100,129.29948198249866,1480710.0,39564.0
19,100,112.5049150541496,1205700.0,34553.0
20,100,137.86507183303786,1555921.0,40304.0
21,100,95.64892772183742,866315.0,26092.0
22,100,29.579751902006734,193730.0,5169.0
23,100,91.26942496017703,952118.0,30001.0
24,100,94.62588060507105,1022628.0,31600.0
25,100,132.44986990128754,1459403.0,38542.0
26,100,128.63476366336295,1476908.0,39519.0
27,100,137.88699343903795,1555751.0,40282.0
28,100,109.4655952446289,1230001.0,35606.0
29,100,42.12240244993001,313129.0,11493.0
30,100,103.41843037692819,1153216.0,34042.0
31,100,84.79342855942667,821571.0,26014.0
32,100,99.89451044508596,998791.0,30006.0
33,100,50.950295312315184,429689.0,11122.0
34,100,78.33289547769903,826518.0,27302.0
35,100,130.33044104758048,1479675.0,39387.0
36,100,65.77071935354562,639675.0,22898.0
37,100,82.58575651867133,803979.0,26218.0
38,100,128.77703370654987,1354051.0,36165.0
39,100,108.92680547927627,1241265.0,36173.0
40,100,112.57166033388681,1136509.0,32216.0
41,100,39.477999471457,308458.0,12568.0
42,100,105.61783567975948,1108024.0,32722.0
43,100,125.23859875000588,1398632.0,37961.0
44,100,113.54787010417392,1189931.0,33058.0
45,100,81.78492114213181,772283.0,24890.0
46,100,124.54802409257742,1331373.0,36051.0
47,100,55.878567183454024,545886.0,20086.0
48,100,107.99769853663369,1060146.0,27236.0
49,100,137.7478624126408,1555308.0,40270.0
