step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,12,0,0,0,12,0,0.0,0.0,6.702628465633218,0,0.0,0.48191388919830414,0,0.0
10.0,14,0,0,0,14,0,0.0,0.0,11.99480963994324,0,0.0,0.8671848153640838,0,0.0
15.0,18,2,0,0,18,0,0.0,0.0,7.685650460009037,0,0.0,0.5155510989809635,0,0.0
20.0,24,0,8,0,24,0,26.0,1.0833333333333333,5.611337764606811,8,26.0,0.29334440735451917,8,26.0
25.0,28,2,10,0,28,0,49.0,1.75,6.472980145731563,10,53.0,0.3749182163766193,10,53.0
30.0,27,0,8,3,30,0,85.0,3.1481481481481484,6.925036204990348,8,85.0,0.35773685094993074,8,85.0
35.0,28,0,11,4,32,0,136.0,4.857142857142857,6.9911691643946074,11,136.0,0.3415265411282324,11,136.0
40.0,35,1,18,8,43,0,198.0,5.6571428571428575,4.105979427033946,18,198.0,0.18035488501816338,18,198.0
45.0,34,0,16,12,46,0,274.0,8.058823529411764,5.478168136794343,16,274.0,0.37006646387053377,16,274.0
50.0,36,2,11,14,50,0,179.0,4.972222222222222,5.252825644708803,11,281.0,0.34687464025978265,11,281.0
55.0,42,0,13,14,56,0,130.0,3.0952380952380953,5.515908882584441,13,183.0,0.24975394420896055,13,183.0
60.0,39,0,14,17,56,0,189.0,4.846153846153846,7.401884811144127,14,198.0,0.35153232584693433,14,198.0
65.0,40,0,12,22,62,0,225.0,5.625,4.973067934009867,12,245.0,0.23377823210895082,12,245.0
70.0,38,0,17,26,64,0,299.0,7.868421052631579,5.271904372789357,17,308.0,0.2368249956072735,17,308.0
75.0,44,4,21,28,72,0,400.0,9.090909090909092,4.531235485331578,21,409.0,0.148345798788951,21,409.0
80.0,46,0,24,32,78,0,516.0,11.217391304347826,5.246250219939417,24,525.0,0.28322627760456603,24,525.0
85.0,45,2,28,37,82,0,636.0,14.133333333333333,3.568475798192358,28,645.0,0.2163321676518848,28,645.0
90.0,46,0,32,38,84,0,782.0,17.0,2.7643031023255964,32,791.0,0.1356951899704556,32,791.0
95.0,48,0,34,40,88,0,951.0,19.8125,2.901199699633159,34,960.0,0.15254956703211608,34,960.0
100.0,53,0,40,41,94,0,1133.0,21.37735849056604,2.608352631699476,40,1142.0,0.1124498401089105,40,1142.0
105.0,53,0,38,43,96,0,1323.0,24.962264150943398,2.3516855405089663,38,1332.0,0.11103743537150215,38,1332.0
110.0,58,5,43,45,103,0,1527.0,26.32758620689655,1.7839071315969526,43,1536.0,0.0844012272629168,43,1536.0
